Grandes Regiões e Unidades da Federação;"Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Total
(1 000 pessoas)";Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual por posição na ocupação (%)_Empregado_Com carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual por posição na ocupação (%)_Empregado_Sem carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual por posição na ocupação (%)_Trabalhador doméstico_Com carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual por posição na ocupação (%)_Trabalhador doméstico_Sem carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual por posição na ocupação (%)_Militar ou funcionário público estatutário;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual por posição na ocupação (%)_Conta própria;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual por posição na ocupação (%)_Empregador;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_14 a 29 anos de idade_Distribuição percentual por posição na ocupação (%)_Empregado_Com carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_14 a 29 anos de idade_Distribuição percentual por posição na ocupação (%)_Empregado_Sem carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_14 a 29 anos de idade_Distribuição percentual por posição na ocupação (%)_Trabalhador doméstico_Com carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_14 a 29 anos de idade_Distribuição percentual por posição na ocupação (%)_Trabalhador doméstico_Sem carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_14 a 29 anos de idade_Distribuição percentual por posição na ocupação (%)_Militar ou funcionário público estatutário;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_14 a 29 anos de idade_Distribuição percentual por posição na ocupação (%)_Conta própria;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_14 a 29 anos de idade_Distribuição percentual por posição na ocupação (%)_Empregador;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_30 a 59 anos de idade_Distribuição percentual por posição na ocupação (%)_Empregado_Com carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_30 a 59 anos de idade_Distribuição percentual por posição na ocupação (%)_Empregado_Sem carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_30 a 59 anos de idade_Distribuição percentual por posição na ocupação (%)_Trabalhador doméstico_Com carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_30 a 59 anos de idade_Distribuição percentual por posição na ocupação (%)_Trabalhador doméstico_Sem carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_30 a 59 anos de idade_Distribuição percentual por posição na ocupação (%)_Militar ou funcionário público estatutário;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_30 a 59 anos de idade_Distribuição percentual por posição na ocupação (%)_Conta própria;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_30 a 59 anos de idade_Distribuição percentual por posição na ocupação (%)_Empregador;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_60 anos ou mais de idade_Distribuição percentual por posição na ocupação (%)_Empregado_Com carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_60 anos ou mais de idade_Distribuição percentual por posição na ocupação (%)_Empregado_Sem carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_60 anos ou mais de idade_Distribuição percentual por posição na ocupação (%)_Trabalhador doméstico_Com carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_60 anos ou mais de idade_Distribuição percentual por posição na ocupação (%)_Trabalhador doméstico_Sem carteira de trabalho assinada;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_60 anos ou mais de idade_Distribuição percentual por posição na ocupação (%)_Militar ou funcionário público estatutário;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_60 anos ou mais de idade_Distribuição percentual por posição na ocupação (%)_Conta própria;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_60 anos ou mais de idade_Distribuição percentual por posição na ocupação (%)_Empregador
Rondônia;850.0745426376884;31.506443688170915;12.858206550778544;0.848066417913263;3.9274883582650397;10.438389247205048;34.07605967380691;3.627389003291497;46.73967067230186;19.771243641949134;0.4128641499385578;2.719668225139156;3.744096161479493;21.31221009465091;1.9890553752717177;26.674588878348217;10.201682041696113;1.1520013224510144;4.685640084141271;12.685610065267273;38.32004651923695;3.884166827688974;5.471677347699695;5.493469639518077;0.0;2.3929469088700652;20.691061324939547;54.015475432076464;8.950037041778785
Acre;325.38866813915956;26.009335945167347;20.206915332481685;1.2123940077387165;4.222076721499268;15.396095958512207;27.909677008103685;2.468615654812742;29.469745423103618;33.32621022961488;0.4171978875788009;3.997171674017694;5.415141099483815;20.992696794418976;1.2610217899824891;25.87181260685432;15.210789795510854;1.563442125229821;4.647599649910297;18.92931523587875;29.300411133283195;2.912052044832744;8.674950598992721;11.940865925675238;1.094313342949026;0.0;25.122595283998436;48.232487869698396;3.440597777345824
Amazonas;1686.9366522899304;24.06327713519921;17.68597400503169;0.5398985942185003;4.95067693570844;7.450752366794713;33.56825118442462;2.8917075727699535;25.581994010550893;25.840733992472174;0.06171904751669442;4.587593789578551;1.859203443385734;24.013978999238287;1.0260716514606156;24.76558375250515;14.528976143357117;0.7846086781375653;5.40047514835376;9.626520264523203;36.28412173022477;3.518276334227768;8.764081892300354;8.182470021428779;0.47232300179375825;2.1312445245854144;13.850921994913064;55.00947105710713;6.069239059108532
Roraima;248.90634438262975;25.87532925825442;20.55905057289942;0.8420332993594299;6.180465040128396;16.92313694065872;25.000657268631187;2.710136107740277;39.14636487295877;24.064279966499484;1.0087624175924348;5.054715053092815;8.91759627123403;17.722564322541704;0.5541647546546776;20.793203841728214;19.49165955333865;0.7740141641371365;6.934723808423567;19.944895159423986;27.25065255271968;3.55123327707295;7.271449074134402;12.097477783021379;0.6621221593550606;3.5885129696806994;28.712811967644154;42.134800876037836;5.532825170126445
Pará;3769.340228685239;20.04583992950211;23.2583260440781;0.5279002213440599;4.517298164605386;8.428463511311772;34.16614872656684;4.11870945829084;22.55233328614073;36.421978658294435;0.0;3.9405676375066623;3.266263640120153;23.536104254722947;0.8528318246109676;20.067512978991626;18.049615598748478;0.7990792818147372;4.9323117578005355;10.770555456380247;37.411157964753976;5.172723455518944;8.444235159202085;11.354694448372298;0.4314716137405294;3.3181359652271074;10.338144835507228;52.63213435958783;9.266569092406451
Amapá;359.9747441276904;24.047983970370804;13.981145494017653;0.7414085085767296;5.34776163234704;16.71372554538115;33.49034332972988;3.7065625449481865;31.99795285053415;23.12634866404144;0.13133075791019716;3.7733346945534736;3.9903095050338315;30.925257693588097;1.4837941400194448;21.942384554261547;10.858733809433673;1.0526698383771729;6.167903902003363;21.09606568480165;33.715240134834566;4.094163821796658;10.356678393011359;6.615366700298806;0.0;3.23242164250631;26.503731185291105;43.34933246091045;9.94246961798193
Tocantins;718.0506579775914;24.934138752643285;27.820023230073385;1.5658890918850643;5.641833890859608;11.79550209116074;23.23195711142104;3.9599936765084727;32.605059821597806;39.452237273322346;0.9130624248604557;4.354766114008682;3.077528300007647;16.155492716187553;1.6086889398649193;23.273564126601947;23.46725417840825;2.035659043079553;6.1302031578606915;15.9675622253938;23.870991680460396;4.8454176111323;6.2166551744621925;15.167754795951902;0.3426079395120393;6.9838985713193455;13.477086032805392;48.154535127952244;6.469758032483472
Maranhão;2461.7360812181205;20.813068195315935;27.781383248811686;0.734243732013137;5.28813487656862;8.786212243926313;30.69372513706411;3.461935104449085;23.579378471563622;43.731966536389386;0.3447343357836429;6.204781543358708;1.575500407750736;18.839277682606728;1.1114567365331172;20.676082504358806;22.306004461340393;0.9692714806521807;5.183291569192112;11.561435116827575;33.447856133120794;4.327396768908869;8.548555362766425;10.516152055434826;0.0;1.902377422356018;13.168941182356898;58.528506181363845;5.337523810848584
Piauí;1270.4959778902492;19.995136322090193;26.09400195551238;0.5934939551277599;5.020749991309289;12.105877112567713;27.931908560956774;3.6830929290609653;26.318371162064857;39.32825914332754;0.30386093306163786;4.457050470929485;1.2405046173659642;20.21967377569158;1.5834813680618964;18.77232763234481;21.962708038421653;0.7438293810436061;5.6414333909957595;15.491401427336214;29.330545500161726;4.51291686857387;5.0210209309754585;10.294107909110513;0.34691326285850393;1.2974428106172442;25.13975575390839;47.11252952791551;4.465736692109958
Ceará;3530.5898595823423;26.913093856614438;23.51077950761208;0.8306156138637218;6.302523424357038;7.747514797928402;29.332476277542895;3.634369322944526;32.465743928151504;36.8256076703599;0.9037682312295331;3.8968322061580394;1.3729233380000123;20.47636980223751;1.0425307741995875;26.350226448171828;19.24573448773354;0.7646285550600644;7.650415239095245;9.704247050553167;30.590380337223205;4.517164414617129;10.113964386773155;9.521286937332958;1.1375584033197643;3.6234702040060056;15.213491956249552;52.87759297356393;5.8834077232243915
