Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Grupos de idade_14 a 29 anos;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Grupos de idade_30 a 49 anos;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Grupos de idade_50 a 59 anos;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Grupos de idade_60 anos ou mais
Rondônia;1872.6441674118023;2599.081153859064;2622.5214188407963;2928.654909242069
Acre;1639.66896914078;2479.6911930900037;2863.7020586733734;2404.3584308000272
Amazonas;1421.6666373836933;2176.857444700322;2535.8414655443785;2531.073877223482
Roraima;1923.0402565899603;2829.2914591009794;2594.089778642662;4544.705442086096
Pará;1340.9843657811384;2037.476146471101;2485.8914579909015;2296.4103790386202
Amapá;1494.649933892385;2456.2551452845373;3212.8041699396;3518.8609961281873
Tocantins;1617.0005490379579;2947.8826013918474;2420.565298867453;3072.287996207466
Maranhão;1184.1202763979852;1745.6917121972456;2064.459950864383;2422.4971348465365
Piauí;1140.595741252592;2142.844634926747;2173.0888011199427;2365.5374379044397
Ceará;1435.4563323868401;1843.7151921812483;2143.9028299679076;2368.3948311500785
Rio Grande do Norte;1609.659873168698;2280.553203063246;2567.0938160241544;3098.4753867306654
Paraíba;1248.5270699662399;2175.3556891860135;1936.984845432284;2570.284311379017
Pernambuco;1318.3770577572989;1952.4520799714483;2169.3287241058542;2377.672906233311
Alagoas;1314.4775686594432;1927.4624409216365;2045.5902428230584;2588.25860086107
Sergipe;1341.192686059406;2150.5869496879272;2429.298481461496;2140.24876314819
Bahia;1229.3848770324253;1851.780814748656;1861.8736157638045;1853.144179179985
Minas Gerais;1707.3644564816393;2595.4836632557067;2488.220963999434;2857.834524015231
Espírito Santo;1790.9861828185876;2957.0513070153897;2860.5650456428575;3366.5745513407983
Rio de Janeiro;1986.297597936634;3571.2136798382758;3674.8316351438143;3952.5607171944907
São Paulo;2164.4322218082943;3786.88753528737;3671.879823821808;3573.31765303584
Paraná;2126.8207645597836;3201.636319205066;3482.3328174571143;3485.670984315748
Santa Catarina;2263.0276202258906;3477.8255187742593;3293.790448072573;3570.012318016844
Rio Grande do Sul;2067.673064067851;3312.5526747596027;3399.986460749991;3228.6985637603348
Mato Grosso do Sul;2033.7850115898796;3340.5164247825064;3660.7276169970783;3936.416480413996
Mato Grosso;2174.6435166841075;3237.142582888532;3319.7555514601663;3379.2798391255947
Goiás;1760.0655959740045;2944.0406216480783;2800.984544029175;3058.0970164568635
Distrito Federal;2237.1234398573233;5135.701553916846;5390.644546949324;6021.159909996587
