Grandes Regiões, Unidades da Federação e Municípios das Capitais;"Pessoas de 14 anos ou mais de idade ocupadas na semana de referência_Total
(1 000 pessoas)";Pessoas de 14 anos ou mais de idade ocupadas na semana de referência_Distribuição percentual por nível de instrução (%)_Sem instrução ou fundamental incompleto;Pessoas de 14 anos ou mais de idade ocupadas na semana de referência_Distribuição percentual por nível de instrução (%)_Ensino fundamental completo ou médio incompleto;Pessoas de 14 anos ou mais de idade ocupadas na semana de referência_Distribuição percentual por nível de instrução (%)_Ensino médio completo ou superior incompleto;Pessoas de 14 anos ou mais de idade ocupadas na semana de referência_Distribuição percentual por nível de instrução (%)_Ensino superior completo
Rondônia;850.0745426376884;27.342188434522214;15.947639714996164;37.417605654666495;19.292566195815276
Acre;325.38866813915956;24.233721879200846;12.775080595880542;38.75270758406731;24.23848994085116
Amazonas;1686.9366522899304;22.60922381689752;13.052037425802377;47.27322322314902;17.065515534150645
Roraima;248.90634438262975;13.352801267029282;12.477289186718439;51.44354845923172;22.72636108702085
Pará;3769.340228685239;32.5803133620358;16.899211025800575;36.566788178945735;13.953687433218244
Amapá;359.9747441276904;20.712387850266094;12.090326153993173;41.10246401844969;26.094821977291197
Tocantins;718.0506579775914;21.332826155800422;14.605082133440956;43.46043097791154;20.601660732847254
Maranhão;2461.7360812181205;27.325707260374728;15.661237251627112;42.26944517449729;14.743610313500474
Piauí;1270.4959778902492;29.279343802595015;13.995405129602773;34.838529424644356;21.88672164315726
Ceará;3530.5898595823423;24.960403508075135;14.620148418706878;43.36265056384238;17.056797509375738
Rio Grande do Norte;1377.1916577781165;24.063639467169438;14.379888596032734;41.25443277652548;20.302039160272535
Paraíba;1447.009903882036;31.620522919154382;12.449696555092629;39.13413568552592;16.795644840227308
Pernambuco;3594.1042201556343;25.940870684872696;12.626981199048423;44.04292537467262;17.389222741406304
Alagoas;1168.188162282192;30.79900898229938;14.310755760161223;37.88844074352233;17.001794514017046
Sergipe;976.7204327423689;32.56490726775822;13.457336787986508;35.47743749261464;18.500318451640517
Bahia;6022.252147900377;29.253728251974135;14.331268559603737;41.26989984869192;15.145103339730387
Minas Gerais;10369.73036111449;24.175774864758374;15.952995013896668;39.8740169103252;19.9972132110197
Espírito Santo;1985.222233440623;21.960697607230404;15.346446400486734;41.048666159223465;21.64418983305995
Rio de Janeiro;7715.755220042017;14.226900371529954;12.597325125149633;45.42807873712553;27.7476957661947
São Paulo;23500.288118343768;12.862923965890896;12.071010562795292;46.53974951332255;28.526315957991297
Paraná;5761.408824484139;19.938395625658828;16.770141219854292;40.06669803097268;23.22476512351354
Santa Catarina;3835.1874463506642;18.074566079883077;17.791723775778504;41.09622817351562;23.037481970823563
Rio Grande do Sul;5754.034916084724;20.196531968880414;17.42671203674669;40.085560422530364;22.291195571842657
Mato Grosso do Sul;1351.5146584543327;22.91053311494681;14.894192200899594;38.34558418942531;23.84969049472819
Mato Grosso;1713.914805025078;22.00536913919991;20.0848645594394;38.304161069327996;19.605605232031948
Goiás;3618.8270165382787;20.70400844810496;15.935087420760427;42.228648872477514;21.132255258657278
Distrito Federal;1569.0711360263215;11.312722294858574;11.127153802798741;38.92457673174329;38.63554717059958
