Grandes Regiões, Unidades da Federação e Municípios;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Rondônia;1466.7579457045697;887.6107550232084;850.0745426376884;461.37566180521;37.53621238552001;31.465353708929996;93.66365799554004;60.51514891210152;57.95602097313623;54.274729881171645;4.228904637882469;10.191066561913871
Acre;685.7046237645591;371.25177437266933;325.38866813915956;153.17083897278005;45.863106233509924;49.13832928232997;108.76816953306007;54.14164663707181;47.45318273526533;47.07319398943325;12.353639605092281;25.873151767226748
Amazonas;3111.2602120007014;1941.0477630370003;1686.9366522899304;636.9352071771298;254.11111074707003;188.63103119846974;534.6505136022497;62.387831000120954;54.22036529709428;37.75691317824654;13.091440385242343;25.10474889684865
Roraima;446.10027831761874;261.7312799716195;248.90634438262975;122.62925005864004;12.824935588989998;15.82370814818;34.223809987409986;58.67095195696543;55.796052251151146;49.26722553529174;4.900039303815985;12.33046115267008
Pará;6809.961251364264;4176.227703074472;3769.340228685239;1299.3484718738619;406.8874743892503;428.1105511049401;1182.2543002643906;61.32527849901998;55.35039172109994;34.471509416571784;9.742942754048245;25.676964527774246
Amapá;679.3824263912886;417.0343341856408;359.9747441276904;170.16407176613995;57.05959005794998;28.029900069309985;106.05271088166;61.384327587161984;52.985583692499254;47.27111402731626;13.682228387591334;23.82863027832265
Tocantins;1266.875262278199;777.5264235377219;718.0506579775914;335.0419493982501;59.475765560130014;66.79891232825004;160.38590656262997;61.37355797282761;56.67887592077005;46.659932091964855;7.6493561838731114;18.99574722558009
Maranhão;5490.2555752032;2778.279201570041;2461.7360812181205;850.466648923321;316.5431203519308;620.0185604137891;1156.05727563129;50.60382278227898;44.838278427994254;34.54743404104003;11.393495663540389;34.01871632803647
Piauí;2633.569067787385;1412.2472376849776;1270.4959778902492;490.539042707709;141.7512597947299;331.85681203493016;744.5017129660317;53.62484147307718;48.24236407658246;38.61004294734426;10.03728355858528;42.68677164562438
Ceará;7532.547228966608;3898.9783659993222;3530.5898595823423;1507.8916642914921;368.3885064169798;512.2399242182895;1207.925278775762;51.76175133699419;46.871128082747205;42.70934105242891;9.448334200299204;27.38303115614288
Rio Grande do Norte;2929.706149623318;1563.6456877646442;1377.1916577781165;784.08653944496;186.4540299865301;224.21051475427018;535.585955723489;53.37209972289181;47.00784267921185;56.933727053644844;11.924314532730277;29.956881038245744
Paraíba;3209.1632306320703;1651.5447177667106;1447.009903882036;617.7258949175293;204.53481388467003;237.98686816728042;588.9718893685786;51.46340647313865;45.08994401001609;42.689818035128724;12.384455091307021;31.17025900773491
Pernambuco;7707.3042274650015;4272.795583365763;3594.1042201556343;1613.7693855328296;678.6913632101196;473.0360320401194;1527.4118495782157;55.43826294204903;46.63244260357598;44.900461608287586;15.884012000300359;32.184282405215185
Alagoas;2607.3924053504875;1326.9628615511594;1168.188162282192;560.1175715596613;158.7746992689701;301.68671748518983;573.2125546513903;50.892334380822966;44.80292877608354;47.94754729113204;11.965270759979665;35.19557319325595
Sergipe;1904.8207714800378;1123.3929401759676;976.7204327423689;436.74194364196023;146.6725074335999;173.24193358692008;468.5504749035704;58.976306694886496;51.27623802545291;44.71514355604348;13.05620697693053;36.13588407843885
Bahia;12115.71736092362;7089.344092795661;6022.252147900377;2556.748341365587;1067.0919448952689;875.9505114142282;2716.1288774595173;58.51361402388445;49.706112882128714;42.45501979283569;15.052054617854788;34.09954072538547
Minas Gerais;17557.730713454403;11235.49205663928;10369.73036111449;6353.75841095718;865.7616955247196;690.70560456259;2132.0752683171513;63.99170963494331;59.0607666238328;61.272166099739856;7.705596614374624;17.877242427846056
Espírito Santo;3361.7569233258505;2170.1742234547314;1985.222233440623;1207.419364782611;184.95199001410987;85.98785427684003;350.0427446426606;64.55476326669631;59.053116531597524;60.82036280089457;8.522448935905354;15.514964465434424
Rio de Janeiro;14812.722102980606;8896.35472945777;7715.755220042017;4844.065480985935;1180.5995094157433;336.23142652172;1886.4319227839298;60.05887822379265;52.088705684214275;62.781482082314184;13.270598411577733;20.43232406298402
São Paulo;38739.258238323084;25841.061460665165;23500.288118343768;16168.71426913132;2340.7733423213426;1046.6953544378996;4579.54172130432;66.70510132561608;60.66272093742993;68.8021959037609;9.058348264387053;17.032070591816538
Paraná;9427.807499624543;6129.276606206395;5761.408824484139;4044.595321138579;367.86778172224984;225.14614096472008;809.6627909756093;65.01274666936666;61.110802535092255;70.20149835488738;6.001814004441464;12.741720580930178
Santa Catarina;5939.999213171157;3988.400638629316;3835.1874463506642;2916.055418849309;153.21319227865996;63.190068215540045;277.04308320831944;67.14480079030402;64.56545377727869;76.03423456196604;3.841469455067445;6.83788425963851
Rio Grande do Sul;9529.343785566709;6147.46059945194;5754.034916084724;4135.493146101336;393.4256833672002;233.62640764052995;877.8620544621093;64.5108492020503;60.38227862866944;71.87118615740569;6.399808132194897;13.757249407293541
Mato Grosso do Sul;2168.9869197575545;1421.5380142961335;1351.5146584543327;845.3344997543187;70.02335584180001;54.65709406270997;173.59170068407025;65.53926173307808;62.31087177812037;62.547194325002124;4.925886971546937;11.759400888210568
Mato Grosso;2747.4104449847714;1785.8065887743505;1713.914805025078;1060.3737502482775;71.89178374927003;74.70998522469006;197.14342040652022;64.9996287243593;62.38291800024801;61.86852153557035;4.025731801035129;10.596165772539953
Goiás;5871.376634734299;3922.0522097113453;3618.8270165382787;2099.4950488742384;303.2251931730601;153.87409182317995;589.6073248049696;66.79953363081842;61.63506859924099;58.01589960723234;7.73128905378281;14.465603182839498
Distrito Federal;2533.5005068231567;1769.298379627366;1569.0711360263215;1054.1255273361417;200.22724360105;83.61860540838002;389.5828885518196;69.83611705868405;61.932931601968825;67.18150013298423;11.316759564501442;21.025382772035073
