Grandes Regiões e Unidades da Federação;"Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Total
(1 000 pessoas)";Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Grupos de horas habitualmente trabalhadas (%)_Até 14 horas;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Grupos de horas habitualmente trabalhadas (%)_De 15 a 30 horas;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Grupos de horas habitualmente trabalhadas (%)_De 31 a 39 horas;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Grupos de horas habitualmente trabalhadas (%)_De 40 a 44 horas;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Grupos de horas habitualmente trabalhadas (%)_De 45 a 48 horas;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Grupos de horas habitualmente trabalhadas (%)_49 horas ou mais
Rondônia;850.0745426376884;3.3642267143399187;14.440290708344262;3.7481911991205386;61.15574214730072;7.834906186016301;9.45664304487854
Acre;325.38866813915956;2.123721315044264;23.298181194053775;2.766294521793368;59.48687648882039;8.953896942083949;3.3710295382040956
Amazonas;1686.9366522899304;3.7526303330387165;25.80844161341699;4.3129794744850365;44.96381543565769;12.839276204582355;8.322856938818772
Roraima;248.90634438262975;2.4408025490627008;18.661208500204697;2.6140873665830435;59.46006566345224;11.616130200346873;5.207705720350697
Pará;3769.340228685239;5.613311181817679;25.47104812478087;6.630512425900759;39.53552138927665;11.080191760799206;11.669415117425128
Amapá;359.9747441276904;1.9074151439147724;22.608511694179107;5.717518753007113;54.383978808668076;7.044398433320383;8.338177166910638
Tocantins;718.0506579775914;3.1681205783979673;18.073797972843096;3.274227378534591;59.633584810252266;7.450233729467549;8.400035530504665
Maranhão;2461.7360812181205;4.248700259808719;25.687912709763967;3.9019106146370257;51.07511125154769;7.6747276779357705;7.4116374863066605
Piauí;1270.4959778902492;10.134756679769843;27.8863498174414;5.678777891145125;38.916027954799816;6.684632182459837;10.69945547438339
Ceará;3530.5898595823423;5.907801600097667;21.68206600865559;4.969978676509838;46.85203985276687;10.793119532370735;9.794994329599405
Rio Grande do Norte;1377.1916577781165;4.186183543851263;21.75739586690818;4.058824385645225;50.008202592039645;10.070861019690069;9.918532591865835
Paraíba;1447.009903882036;4.689844205519181;22.570385222770152;3.88984502597288;48.26797856294161;9.25091854733936;11.331028435456892
Pernambuco;3594.1042201556343;4.514020410161454;20.670311181807275;4.533464014070346;47.61335419231255;11.14227350130869;11.526576700339787
Alagoas;1168.188162282192;4.252787525094702;21.96306850381031;3.7374635596883605;48.66698163898497;12.248788108314626;9.130910664106985
Sergipe;976.7204327423689;5.411201646239222;25.52020735401236;5.265072693211936;41.88418122066417;8.901909909078757;13.01742717679346
Bahia;6022.252147900377;5.814760545748929;22.191395066774454;4.117736190995689;48.95488238988982;9.164146964569388;9.75707884202191
Minas Gerais;10369.73036111449;3.221876193445331;15.948533313874016;3.6845812584404207;54.43402931367533;9.892156024911271;12.818823895653287
Espírito Santo;1985.222233440623;2.798852239463493;14.427557109929815;3.4973418598868764;58.6313927804761;8.589469893868191;12.055386116376006
Rio de Janeiro;7715.755220042017;3.1789069964376586;16.17568405805779;3.6157040194824934;55.559065196919654;10.152859162577514;11.317780566524533
São Paulo;23500.288118343768;3.1614055830838694;12.476034901369268;4.207976085704173;56.84132748036344;10.273510246395563;13.039745703083703
Paraná;5761.408824484139;2.2428045678645154;12.166282319155153;3.485620166730318;60.63547983823901;9.456588511815077;12.013224596195357
Santa Catarina;3835.1874463506642;1.5510606741608859;11.559595275372777;2.0035292089716714;67.56582622505114;5.29473631375967;12.025252302685102
Rio Grande do Sul;5754.034916084724;2.9450002797293746;14.447176001979841;3.363174842225994;56.80545429082075;8.20205095967518;14.237143625569024
Mato Grosso do Sul;1351.5146584543327;3.15956399526857;14.567507425736386;3.3377453865991025;57.653401451382074;11.145878278492996;10.135903462520902
Mato Grosso;1713.914805025078;3.168479122533451;13.716044252616053;2.9246114593511607;58.401742373665556;9.8387907116539;11.95033208017894
Goiás;3618.8270165382787;3.0722392434693537;14.102924544132119;3.965438498811493;57.65036110561162;11.606630026382952;9.60240658159281
Distrito Federal;1569.0711360263215;3.3444698825362713;15.026504956757744;6.9288229255270934;51.12300122376129;10.548852870874782;13.028348140542874
