Grandes Regiões e Unidades da Federação;"Total
(1 000 pessoas)";Tempo sem trabalhar e procurando trabalho (%)_Até um mês;Tempo sem trabalhar e procurando trabalho (%)_Mais de um mês a menos de um ano;Tempo sem trabalhar e procurando trabalho (%)_De um ano a menos de dois anos;Tempo sem trabalhar e procurando trabalho (%)_Dois anos ou mais
Rondônia;37.53621238552001;10.26599759568847;44.483504562893025;17.03310738002536;28.217390461393173
Acre;45.863106233509924;20.571787019031817;27.489142936089145;10.072245845321271;41.8668241995576
Amazonas;254.11111074707003;11.81498021266517;31.61989167367271;15.693016442194194;40.87211167146795
Roraima;12.824935588989998;20.669580368073905;48.85170010583578;9.878569771669111;20.6001497544212
Pará;406.8874743892503;36.111758560831305;37.066761873811785;9.07060548165528;17.750874083701788
Amapá;57.05959005794998;10.593224123887376;30.920004886999465;16.398739572238313;42.08803141687486
Tocantins;59.475765560130014;31.735550174932;29.274594461835346;17.288081124932592;21.701774238299993
Maranhão;316.5431203519308;24.436058655740865;38.312526770010635;11.488333409072085;25.76308116517653
Piauí;141.7512597947299;42.75234905087803;38.061080892753914;9.061719132148083;10.124850924219837
Ceará;368.3885064169798;24.734537245445978;39.13797196676992;9.751487353866649;26.376003433917496
Rio Grande do Norte;186.4540299865301;26.294149006471915;44.31280044565352;10.865239632634147;18.527810915240458
Paraíba;204.53481388467003;17.078704051265742;31.65583399836697;12.908672943046044;38.35678900732119
Pernambuco;678.6913632101196;14.513539976916467;33.11150495583604;12.653017201654515;39.72193786559305
Alagoas;158.7746992689701;21.4483753992444;36.51182990013678;9.8475249858563;32.1922697147626
Sergipe;146.6725074335999;28.689987800917745;30.014935772397514;16.31694135071254;24.97813507597223
Bahia;1067.0919448952689;18.4842511852499;32.36332916543143;15.241970730092342;33.91044891922638
Minas Gerais;865.7616955247196;33.45915758190631;48.08950969789498;7.3476749808600985;11.10365773933865
Espírito Santo;184.95199001410987;21.313994009041288;46.236253029002874;9.653438662253869;22.796314299702047
Rio de Janeiro;1180.5995094157433;9.556108791331154;32.00270652498316;15.853619308428858;42.58756537525689
São Paulo;2340.7733423213426;19.601688692374086;40.58435329226609;15.277010960000418;24.536947055359605
Paraná;367.86778172224984;19.34696209482843;51.53256359941076;12.987857355639191;16.132616950121587
Santa Catarina;153.21319227865996;23.759727493355218;49.21490889529783;8.286315027578922;18.739048583768003
Rio Grande do Sul;393.4256833672002;25.016111252533758;45.40939428721193;9.193999612333293;20.380494847920954
Mato Grosso do Sul;70.02335584180001;26.318011531659675;47.78506170420622;11.562019747684072;14.334907016450096
Mato Grosso;71.89178374927003;27.27965007041451;45.02922523062126;10.800382640427719;16.890742058536407
Goiás;303.2251931730601;36.918734859899466;47.02486898692442;6.995017615430927;9.061378537745174
Distrito Federal;200.22724360105;18.191365738033365;42.68215740309565;14.867040457522382;24.259436401348587
