Grandes Regiões, Unidades da Federação e Municípios;"Rendimento médio real habitual do trabalho principal
(R$/mês)";"Rendimento médio real habitual de todos os trabalhos
(R$/mês)";"Rendimento-hora médio real habitual do trabalho principal
(R$/hora)";"Rendimento-hora médio real habitual de todos os trabalhos
(R$/hora)"
Rondônia;2400.222056158163;2443.4040555476968;16.14058549886946;16.16970897137027
Acre;2293.8596484051814;2318.1669477629603;14.910669788209526;14.891371350458968
Amazonas;2034.8274384697768;2080.679402416249;13.269382732140107;13.262514506451005
Roraima;2606.103664786434;2658.750338062564;16.21046064645709;16.161533461177044
Pará;1917.1769025534084;2000.3579354059586;12.40019685218579;12.446557321470863
Amapá;2387.2539875523084;2470.767903316164;15.25975096785003;15.191768081772214
Tocantins;2474.8084660896543;2545.4570201673623;15.267546497925112;15.28242752618116
Maranhão;1671.3235873555855;1713.3489576154175;11.172679751430705;11.158859404028584
Piauí;1886.3398593495667;2022.1217485707823;13.01165058625227;13.04167971387478
Ceará;1813.7488885746193;1868.5038371951532;11.97705412105444;12.044406010373867
Rio Grande do Norte;2213.1550999934616;2311.101841700704;15.419414682381417;15.33425800010863
Paraíba;1923.0105917345552;2197.6715371531764;13.085667587770168;13.141322019808914
Pernambuco;1837.1319091857174;1888.3070084713843;11.479881171083532;11.492020478993028
Alagoas;1795.617773238158;1856.0459950109214;11.507818425864741;11.542164394853673
Sergipe;1976.84268238577;2120.564010152395;13.510510783912727;13.525336610127031
Bahia;1689.1621480911065;1740.1421741031015;10.938366337565142;10.978384716873736
Minas Gerais;2354.738978369685;2432.5022884901;14.509267419080212;14.548610185181134
Espírito Santo;2674.6859440655826;2772.8088082768877;16.27400051425582;16.263606505177457
Rio de Janeiro;3258.096725222922;3341.095877274021;20.17213816836278;20.18918183478867
São Paulo;3329.2203960214333;3425.2851625641656;19.914598751057518;19.925507201455314
Paraná;2957.1051522660105;3029.040529164934;17.550806839398778;17.586699160357707
Santa Catarina;3107.6696617957023;3154.7914542528943;18.285393837226497;18.32358320456738
Rio Grande do Sul;3004.4159552613773;3090.34619841444;18.05369457376549;18.13218280311934
Mato Grosso do Sul;3051.4309621617153;3101.36581570962;19.037847426681676;19.068183471389425
Mato Grosso;2932.1815207733885;2974.059207078748;17.943278020479724;17.98227640743474
Goiás;2588.0012232713216;2636.038131861693;15.619364462444665;15.659093321558696
Distrito Federal;4487.016529090548;4631.090265541371;27.808838446506137;27.843630814164428
