Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$)_Total_Médio;Rendimento domiciliar per capita das pessoas (R$)_Total_Mediano
Rondônia;1384.7667344540737;1036.799998707131
Acre;1073.6646416740416;653.6684877155694
Amazonas;990.7277376129393;609.3331822188422
Roraima;1303.663467147089;730.3576336852761
Pará;1112.710701849275;693.6218158057561
Amapá;1217.7348107967744;690.9010133568521
Tocantins;1421.5249851206531;898.6930998888795
Maranhão;858.3693230806493;590.3236131554337
Piauí;1138.8744876704848;690.6684214509235
Ceará;1082.1827024711608;660.1645894908002
Rio Grande do Norte;1288.2603074798105;765.0478024688698
Paraíba;1132.695454413034;629.6143512504608
Pernambuco;1032.2354080281223;649.1390058587037
Alagoas;961.2816233202641;626.6572250780735
Sergipe;1201.256413086615;731.7638461132519
Bahia;1046.7960853186808;658.2224816426674
Minas Gerais;1567.0126425275387;1110.2340648424495
Espírito Santo;1744.0366451237046;1156.6136198664165
Rio de Janeiro;2009.2543463630598;1206.5380730457373
São Paulo;2182.5235800008277;1373.2329317884005
Paraná;1873.043880563599;1252.3518142880998
Santa Catarina;2038.8299278285497;1491.772378780378
Rio Grande do Sul;2120.7159546544613;1406.5748378672429
Mato Grosso do Sul;1868.0207956420422;1238.4408352049113
Mato Grosso;1691.995892179779;1235.5595586157503
Goiás;1645.0342246824723;1170.4415177872554
Distrito Federal;2946.8538927013838;1598.7835344871798
