Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita médio (R$)_Ano mais recente_Total;Rendimento domiciliar per capita médio (R$)_Ano mais recente_Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita_Até 10%;Rendimento domiciliar per capita médio (R$)_Ano mais recente_Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita_Até 40%;Rendimento domiciliar per capita médio (R$)_Ano mais antigo_Total;Rendimento domiciliar per capita médio (R$)_Ano mais antigo_Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita_Até 10%;Rendimento domiciliar per capita médio (R$)_Ano mais antigo_Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita_Até 40%;Taxa de crescimento anual (%)_Total;Taxa de crescimento anual (%)_Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita_Até 10%;Taxa de crescimento anual (%)_Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita_Até 40%
Rondônia;1384.7667344540685;181.3198326518311;480.9930239636327;1250.2393726901792;174.97121038340813;435.8477174466001;2.0649647948796312;0.7153677135905534;1.9907535050436742
Acre;1073.664641674058;81.71390313260439;282.8836208502195;1025.5898060146917;80.59703033632331;239.78659107800104;0.9204064884208218;0.27562627264545725;3.3609712818648108
Amazonas;990.727737612934;118.00390837770661;294.0896688002806;1096.4099172736799;81.05824053595532;245.0570950668753;-2.0067247551525114;7.800268811784972;3.715221083733722
Roraima;1303.6634671470906;108.1138655570609;338.38937750276483;1285.170954103537;129.986149020288;356.4038968776899;0.28614070613726117;-3.6177936911927278;-1.0319859568001521
Pará;1112.7107018492852;135.06614454480845;337.49314734378544;932.8567440912409;101.19372116497414;272.74121484354845;3.588957369219359;5.944541878492293;4.352495114005528
Amapá;1217.7348107967791;134.60373337656316;335.6296862735578;1175.0758477405452;96.42079537392081;271.97659736775086;0.7157437621439389;6.8998951404939834;4.29554699390875
Tocantins;1421.5249851206506;185.8264308367027;446.68363878456654;1205.6904775992589;152.27261185542224;374.5749118359773;3.3483942543046874;4.063190687316243;3.583903200730343
Maranhão;858.3693230806543;87.9198065297269;258.4799390467663;784.6594022619631;60.41253556355678;203.34114845566972;1.8119137718939138;7.793340780548386;4.915659294661534
Piauí;1138.8744876704893;131.20432081982983;323.99893426692523;994.1590748177592;88.83376876351954;253.50888444454415;2.755244418962821;8.11202699250233;5.029205319111885
Ceará;1082.1827024711654;116.56963531935452;314.80478602846387;1089.14051625348;91.55003697335414;278.60928365348525;-0.12809479991368056;4.950710432625849;2.4729286835486475
Rio Grande do Norte;1288.260307479817;140.48982039746025;369.42613158814595;1122.346848536696;90.25033351063374;300.5448333225497;2.79578488922938;9.254468436240405;4.213424964091095
Paraíba;1132.695454413021;112.92064537183681;307.89981198700144;1193.232686830378;116.15956092926882;315.15922837381953;-1.03591737762323;-0.5639926067201428;-0.4649866483743992
Pernambuco;1032.2354080281061;97.12329582293003;291.97193997003353;1105.9409992010114;78.10623118216199;272.8649788913675;-1.3699260443203354;4.454594102631182;1.362815039635512
Alagoas;961.2816233202627;106.45646034680665;290.776972575504;868.2757289743842;64.48839528462584;230.71275998309855;2.0560125087178527;10.544741977917681;4.7364089090094375
Sergipe;1201.2564130866115;134.03250072386203;335.7467198432154;1096.5067737296142;73.17615357567317;263.3195159741576;1.8415217496997371;12.867292874682068;4.979801212217683
Bahia;1046.7960853186848;99.21394613682412;303.46483262453427;1147.4882002393351;70.95373203181376;251.8620123707934;-1.8200577512472726;6.934906990635281;3.7980369477297993
Minas Gerais;1567.012642527548;233.7994474799354;534.4024050760955;1601.2968434327886;204.6831595399207;501.3842068380724;-0.43192046429629816;2.695703343360445;1.283698278180867
Espírito Santo;1744.0366451236907;233.07385904079686;558.1394143732148;1592.5934340697647;169.4154551338935;477.58202628920304;1.8333748720244403;6.587949627793788;3.1665585977245225
Rio de Janeiro;2009.2543463630363;192.45088290480945;530.732886474381;1882.8990427188446;202.8229684760501;538.5687565900715;1.3074948937312314;-1.0443593916396487;-0.29269708667615246
São Paulo;2182.5235800008372;283.5622283658845;673.2458090122844;2233.9637119359186;264.55364827270233;638.6100060858622;-0.46482919318839855;1.3974247547009488;1.0619300287943334
Paraná;1873.0438805636084;271.26062670234757;643.5527012446674;1944.7040751809932;276.55571089107326;643.9180340891397;-0.748087152393595;-0.38589761085852103;-0.011349760787793262
Santa Catarina;2038.8299278285829;380.7716324488558;815.520652306939;2094.7471874719986;377.0075089066494;840.5624463571287;-0.5396743640884272;0.1988915423376536;-0.6030642297353728
Rio Grande do Sul;2120.7159546544617;308.9888613423208;727.9058010825986;2117.7989866790854;290.8386417391684;696.4223937824413;0.027532001257468686;1.2180912554253354;0.8882271699423683
Mato Grosso do Sul;1868.0207956420452;283.53418319955506;629.9176035964243;1721.4631419792775;262.0194681860695;578.5204529977431;1.6475219806200814;1.5907982755734462;1.7168741685630318
Mato Grosso;1691.9958921797606;234.74229790159123;603.1045623089228;1629.8153361261411;239.01222934664224;558.12605589191;0.7516531501343682;-0.3598791108404664;1.5621914338401544
Goiás;1645.0342246824744;268.6736209302908;592.9918072167405;1653.145940680169;240.91582036353844;554.0174340130203;-0.09832990514335727;2.20495272332899;1.36897435281651
Distrito Federal;2946.8538927013838;301.8240199725131;727.6347114327943;3170.1450321678126;250.73606741605263;627.3508060282239;-1.4501665918984719;3.7785020668231306;3.0102852206922437
