Grandes Regiões, Unidades da Federação e Municípios das Capitais;Índice de Gini
Rondônia;0.4472921326336754
Acre;0.5231888934344882
Amazonas;0.509407379181797
Roraima;0.5470297059858369
Pará;0.5084687692993588
Amapá;0.5307960287370066
Tocantins;0.5072761490222555
Maranhão;0.4910339990561679
Piauí;0.5177916996373786
Ceará;0.5179401734622044
Rio Grande do Norte;0.5260722410469014
Paraíba;0.5575781185471853
Pernambuco;0.5153935917627486
Alagoas;0.4981024935021272
Sergipe;0.5283738335634902
Bahia;0.5108412180655222
Minas Gerais;0.4659198997262948
Espírito Santo;0.4927853214539837
Rio de Janeiro;0.5396761482079726
São Paulo;0.4997654450289599
Paraná;0.4696110476065796
Santa Catarina;0.4188841513143575
Rio Grande do Sul;0.4671275358933955
Mato Grosso do Sul;0.4784363818616475
Mato Grosso;0.4499977276278702
Goiás;0.4563253913479355
Distrito Federal;0.5360938783477671
