Grandes Regiões, Unidades da Federação e Regiões Metropolitanas das Capitais;"Total
(1 000 pessoas)";Proporção de pessoas por classes de rendimento domiciliar per capita (%)_Menos de US$ 2,15 PPC 2017 (1);Proporção de pessoas por classes de rendimento domiciliar per capita (%)_Menos de US$ 3,65 PPC 2017 (1);Proporção de pessoas por classes de rendimento domiciliar per capita (%)_Menos de US$ 6,85 PPC 2017 (1);Proporção de pessoas por classes de rendimento domiciliar per capita (%)_Até 50% mediana nacional (2);Proporção de pessoas por classes de rendimento domiciliar per capita (%)_Até 50% mediana regional (2);Valor de 50% da mediana no rendimento domiciliar per capita no nível geográfico (2)
Rondônia;1822.8120000004124;4.290646552806949;10.782911083883784;29.585916144871884;21.065191649450377;20.76430315880961;495.27842990387046
Acre;901.7113129082122;14.026197662944753;24.975711677481794;51.02882296752214;38.98840945393785;23.019023574009363;312.81747872042547
Amazonas;4161.954910196301;10.53680439854567;24.07076335561901;55.074320338798195;41.59380609959261;19.841913727856266;291.07788870678786
Roraima;597.0010599287401;7.750895167632212;19.83865274835795;45.13089622807698;34.46297605037882;21.213833921736423;348.891170792692
Pará;8817.449350309693;7.544321184876652;19.43545960957414;47.043728842133405;35.732276720372546;19.468620006834346;331.2849122388881
Amapá;884.2143605664273;7.941825259736213;20.455098640202564;47.78633385670557;36.01859401590123;20.356874764114007;330.0428026189326
Tocantins;1609.5182058219555;4.9266350463358775;12.296846268145059;33.985414678406315;24.053825399182205;20.95944876822289;429.3048424516611
Maranhão;7155.510169616126;15.011953506385527;27.970225551467074;56.671269352196084;44.766940568139574;22.205675738054147;286.5432043650984
Piauí;3294.8130305968916;11.639415154737968;21.823330698509228;48.2109774240418;35.992759071565544;21.06919814556738;331.10793846536416
Ceará;9287.178776999406;10.94554730481902;22.9155424155613;50.67600680491543;36.94549061058428;20.997917957114385;316.28964737176176
Rio Grande do Norte;3586.569512611747;9.35181049133388;18.068616108364182;44.16193327631157;30.655103433748508;19.216722890931024;366.7655647163911
Paraíba;4057.0992675804505;11.116134142915994;22.93549690984158;52.68170502328661;38.82059009977918;19.865177143555567;301.8384842520951
Pernambuco;9670.850060499726;11.69910383957914;24.126024694826256;50.714184423565435;39.596369572621285;22.07792479398574;311.53997746243226
Alagoas;3370.1665964887557;13.065821833348643;24.535303195919507;54.23934475193421;41.23430214694693;20.753517546321795;300.4208021158639
Sergipe;2356.218745434103;8.86876176050538;20.825666330834768;45.647912633736006;34.634951863146924;22.35482433637219;350.2230271469913
Bahia;15017.04099999983;11.928940621360077;23.485466754228078;50.5439169824708;37.90758809331508;21.597372526422728;314.31333440915387
Minas Gerais;21513.7452127577;3.178765186864776;8.846466568369806;27.0379374100566;18.231315373889213;20.096217030962624;533.1109151020024
Espírito Santo;4146.846355753658;4.078469775986944;8.206742689182825;26.341103153528415;16.2501033189228;19.132318988299062;551.4073255240329
Rio de Janeiro;17550.450744167127;4.532786275804947;9.842332331122906;26.60886080288039;18.85668183987131;21.66741478469394;578.9869221589818
São Paulo;46972.977517051586;2.8648898143122947;5.930518071254574;19.57834903124509;11.680268383504806;19.9874377560658;652.2831585799438
Paraná;11660.100367578812;2.930281225174613;6.362654073466359;20.011627301972798;12.44534219094531;17.609362437868164;602.5231593085063
Santa Catarina;7409.566575176058;1.7550480285575922;3.2338278456740284;12.798620667624723;7.47303874487814;15.483009666190851;716.3728481418256
Rio Grande do Sul;11487.376275581457;2.4810808610348998;4.784652091851221;16.807033558098116;10.542382944484933;18.39137712225792;674.3151924257755
Mato Grosso do Sul;2796.502999999743;2.6935078734067783;6.150500273835404;21.28170203103248;13.143675434729879;16.70808142871946;595.3856976946689
Mato Grosso;3550.5486126588216;4.0650546229667475;7.426066190241854;22.05053790035967;13.56764934265347;17.987009422770996;592.7107829119032
Goiás;7298.782291287345;2.687146726902688;6.533895509788646;22.678890214871906;14.796766102034006;17.972276546755996;564.9852695370757
Distrito Federal;3128.9443713554397;1.7551880983601464;5.669574707637379;17.058289160097083;11.429505159658763;21.940108437790414;760.0151608246662
