Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas, sem benefícios de programas sociais governamentais (R$)_Total_Médio;Rendimento domiciliar per capita das pessoas, sem benefícios de programas sociais governamentais (R$)_Total_Mediano
Rondônia;1346.916929455219;996.9516484240146
Acre;1009.5036451768387;603.9131525709723
Amazonas;923.3060688600482;526.6371950253101
Roraima;1256.3907298244644;685.3247362428428
Pará;1030.3701905466544;626.0466499640378
Amapá;1150.90313945863;630.4185485203925
Tocantins;1360.702971997757;839.3437597770242
Maranhão;777.7056050588327;481.1996780826086
Piauí;1051.606446073331;626.5668740874443
Ceará;993.860240863147;619.6594054418587
Rio Grande do Norte;1220.0551393491248;667.6007237908016
Paraíba;1047.2122066851516;570.4176450054082
Pernambuco;952.2934992322964;596.4585094072265
Alagoas;867.6145956017785;516.5158967572364
Sergipe;1118.7163312332118;630.3171983573426
Bahia;962.2656424780671;597.1542828588707
Minas Gerais;1524.8780190487132;1057.2826771403045
Espírito Santo;1705.6954792127585;1123.4031388308842
Rio de Janeiro;1973.1953122567343;1172.4531844633
São Paulo;2155.1870433289646;1359.8011810869004
Paraná;1844.4095346976642;1249.0073547473323
Santa Catarina;2020.4211600134179;1482.871126846177
Rio Grande do Sul;2092.6111827852856;1393.7745998234582
Mato Grosso do Sul;1819.790409249633;1170.9119751170797
Mato Grosso;1654.5073683379815;1178.2527022741576
Goiás;1604.2207543537352;1133.6362562650766
Distrito Federal;2914.343263650842;1583.2823638946688
