Grandes Regiões, Unidades da Federação e Regiões Metropolitanas das Capitais;"Total
(1 000 pessoas)";Proporção de pessoas por classes de rendimento domiciliar per capita (%)_Menos de US$ 2,15 PPC 2017 (1);Proporção de pessoas por classes de rendimento domiciliar per capita (%)_Menos de US$ 3,65 PPC 2017 (1);Proporção de pessoas por classes de rendimento domiciliar per capita (%)_Menos de US$ 6,85 PPC 2017 (1);Proporção de pessoas por classes de rendimento domiciliar per capita (%)_Até 50% mediana nacional (2);Proporção de pessoas por classes de rendimento domiciliar per capita (%)_Até 50% mediana regional (2);Valor de 50% da mediana no rendimento domiciliar per capita no nível geográfico (2)
Rondônia;1822.8120000004124;7.488004250861718;14.869350740740487;32.38505693734407;23.084013673467666;23.084013673467666;476.24290773098727
Acre;901.7113129082122;21.09059836299173;33.11379417076096;55.39294869286334;43.552922014600306;27.618503174419132;289.0067437270728
Amazonas;4161.954910196301;17.486784179620802;33.60388328194132;59.83950847250097;46.92481791047598;25.515955700435576;251.57412075169015
Roraima;597.0010599287401;11.499662268983966;25.77057111277048;48.12499505896226;37.74353989067377;25.522062771953273;327.3789743076815
Pará;8817.449350309693;16.082137496416124;29.54098592776127;53.53587635911751;42.32310805325869;25.69745750317287;299.0099811400893
Amapá;884.2143605664273;15.716848339576204;28.69514756129406;52.53765394207009;39.83739708806444;26.880551310390384;301.15037610406233
Tocantins;1609.5182058219555;8.849136489891128;18.941148911507657;39.86096863380426;29.36064235616736;24.095291326486237;400.953737858581
Maranhão;7155.510169616126;25.18525987344542;39.691476960350144;62.29659866980031;50.477657659951454;27.366179921446243;233.57444448489218
Piauí;3294.8130305968916;21.908194240959563;32.86346064234806;53.90428858092879;42.7631794918789;28.777977790288954;300.37749612341275
Ceará;9287.178776999406;22.215238437779742;32.786926273710925;56.331445544082094;44.0817009925619;27.88039824040288;296.88331832103097
Rio Grande do Norte;3586.569512611747;16.933984816806273;25.585876321277915;49.790148594932155;35.77529074616027;24.708714191143123;320.04921961086814
Paraíba;4057.0992675804505;21.633945881270126;34.50815109360788;58.27815787898033;45.074810928572056;27.504138475694525;273.4594495450984
Pernambuco;9670.850060499726;21.35114380423781;34.21973805147388;56.55851612609283;44.24113995137827;28.613795383822968;286.2571153067537
Alagoas;3370.1665964887557;23.878750828941847;36.94279382710502;60.67575175909807;48.413250773096486;27.75274192593771;247.61883989124019
Sergipe;2356.218745434103;18.79773482273128;30.660700649039978;52.10455764654303;40.63898915636816;28.550503328032804;301.67057594508157
Bahia;15017.04099999983;22.187520308295063;33.78560101602711;56.51872025591089;44.87459878175908;28.103093216309176;285.152158268057
Minas Gerais;21513.7452127577;6.658208005786861;13.390282656841002;30.487900745901737;21.015621923486364;22.82855525686667;507.6847594532253
Espírito Santo;4146.846355753658;6.348112112030609;12.171134021293302;29.235529968324546;19.12636331297999;22.288342144303954;535.5744394426308
Rio de Janeiro;17550.450744167127;7.443589009318986;14.255602535733136;29.193243854075014;20.34131344613247;24.15867464412495;562.6304362496528
São Paulo;46972.977517051586;4.511389815133078;8.095786352335354;21.99745020440183;13.015664323671283;22.111388881627086;645.9031303952179
Paraná;11660.100367578812;4.901191773940401;8.852498151531053;22.75948538366586;13.708153213240324;19.72723336643851;600.9140928867677
Santa Catarina;7409.566575176058;2.661776094648462;4.811840294301368;14.209947745489805;7.9188269019425785;16.686913061854206;712.0983055135097
Rio Grande do Sul;11487.376275581457;4.186861801458449;7.3019362226448585;19.17857461712141;12.033918250517415;20.534758970715423;668.1787368462254
Mato Grosso do Sul;2796.502999999743;4.923928520776219;9.731157173312708;26.01464608817103;16.352939745021256;20.08306481997017;562.9209197171551
Mato Grosso;3550.5486126588216;5.7517422954015025;9.973766510288158;25.01847112284515;15.406480694150128;20.372600841285916;565.2201102557908
Goiás;7298.782291287345;5.093812345212408;10.530903673521212;26.674338758493988;17.43976367517874;20.871879957803653;547.2189037288059
Distrito Federal;3128.9443713554397;4.095409958948557;8.12636837453917;19.65650833033029;12.970825169574386;24.539614596878053;752.6463576053834
