Grandes Regiões, Unidades da Federação e Municípios das Capitais;"Total
(1 000 pessoas)";Valor da linha mensal referente a 50% da mediana nacional (R$);Proporção de pessoas com rendimento domiciliar per capita de até 50% da mediana nacional (%);Valor da linha mensal referente a mais de 50% até 150% da mediana nacional (R$);Proporção de pessoas com rendimento domiciliar per capita maior do que 50% até 150% da mediana nacional (%);Valor da linha mensal referente a mais de 150% da mediana nacional (R$);Proporção de pessoas com rendimento domiciliar per capita maior do que 150% da mediana nacional;Valor da linha mensal referente a US$ 6,85 PPC 2017 (R$);Proporção de pessoas com rendimento domiciliar per capita maior ou igual a US$ 6,85 PPC 2017 e menor que US$ 24,35 PPC 2017 (%);Valor da linha mensal referente a US$ 24,35 PPC 2017 (R$);Proporção de pessoas com rendimento domiciliar per capita maior ou igual que US$ 24,35 PPC 2017 (%)
Rondônia;1822.8120000004221;498.3933191549651;21.06519164945021;996.7866383099303;52.1952803485288;1495.1799574649074;26.739528002020034;622.5492516169976;57.3019246887832;2213.0035440691636;13.112159166344199
Acre;901.7113129082117;498.39331915496774;38.98840945393803;996.7866383099355;44.55402988710411;1495.17995746491;16.45756065895862;647.4088962619883;39.32510423993733;2301.373229778001;9.646072792540702
Amazonas;4161.954910196302;498.39331915497354;41.593806099592136;996.7866383099471;43.26597543237482;1495.1799574648905;15.140218468032488;622.5492516169894;36.41500539200849;2213.0035440691704;8.510674269193414
Roraima;597.0010599287382;498.39331915497246;34.4629760503788;996.7866383099449;44.38247954941763;1495.1799574649065;21.15454440020332;622.5492516169976;42.533523597468786;2213.0035440691754;12.335580174453991
Pará;8817.449350309622;498.3933191549701;35.732276720371935;996.7866383099401;47.99019387730299;1495.1799574649306;16.277529402324486;620.1122668956465;44.1451623886881;2204.3406859721026;8.811108769178535
Amapá;884.2143605664337;498.39331915496376;36.01859401590132;996.7866383099275;43.01785784333607;1495.1799574648992;20.963548140762594;622.549251616989;40.77798996729268;2213.003544069153;11.43567617600157
Tocantins;1609.5182058219555;498.393319154973;24.053825399182205;996.786638309946;54.27809398403469;1495.1799574648987;21.66808061678385;622.5492516169929;52.80844838936238;2213.0035440691786;13.206136932232068
Maranhão;7155.51016961613;498.3933191549729;44.76694056813904;996.7866383099458;44.21489040596281;1495.1799574649076;11.018169025896922;638.9413651920994;38.17665115095258;2271.27332006239;5.152079496850508
Piauí;3294.81303059688;498.3933191549684;35.99275907156553;996.7866383099368;47.141801235936846;1495.1799574649197;16.86543969249645;637.9753910349806;42.26653213838584;2267.8395287156077;9.52249043757112
Ceará;9287.178776999437;498.3933191549639;36.945490610584145;996.7866383099278;48.938430443141314;1495.1799574649103;14.1160789462747;644.3626844605811;41.93605913373707;2290.5447250533134;7.387934061347334
Rio Grande do Norte;3586.5695126117434;498.3933191549753;30.655103433748547;996.7866383099506;50.386642471293406;1495.1799574649333;18.958254094957734;637.9753910349807;44.481258759825856;2267.839528715606;11.356807963862256
Paraíba;4057.0992675804378;498.39331915497013;38.820590099779864;996.7866383099403;48.152209306185995;1495.1799574649076;13.027200594034241;637.975391034977;40.20445970145245;2267.8395287155745;7.113835275260396
Pernambuco;9670.850060499775;498.39331915497655;39.59636957262121;996.7866383099531;47.10486549184811;1495.1799574648896;13.298764935530052;634.8081683036146;41.59509516077378;2256.5808610500817;7.6907204156600555
Alagoas;3370.166596488762;498.3933191549733;41.23430214694701;996.7866383099466;46.3368379342412;1495.1799574649099;12.428859918812147;637.9753910349871;39.698164378068356;2267.839528715601;6.062490869998163
Sergipe;2356.2187454341038;498.39331915497525;34.6349518631471;996.7866383099505;48.247866895734845;1495.1799574649178;17.117181241118306;631.487074276344;44.682746608433014;2244.7752202377987;9.66934075783125
Bahia;15017.040999999828;498.39331915497166;37.90758809331551;996.7866383099433;47.70846926693478;1495.1799574649142;14.383942639750334;637.4694202147766;42.13629664918811;2266.0409317124086;7.319786368341062
Minas Gerais;21513.745212758236;498.3933191549689;18.23131537388907;996.7866383099378;51.35715713225686;1495.1799574649153;30.411527493854283;631.5313250232025;57.53349225745382;2244.932520337963;15.428570332489617
Espírito Santo;4146.8463557536625;498.3933191549741;16.250103318922847;996.7866383099482;51.550707713006794;1495.179957464924;32.19918896807002;638.601704565731;56.42782850908364;2270.0659133103386;17.231068337387736
Rio de Janeiro;17550.450744166916;498.39331915496916;18.856681839870923;996.7866383099383;45.734107585735764;1495.1799574649106;35.40921057439166;630.7911738193368;50.936294797475526;2242.3014718979075;22.45484439964297
São Paulo;46972.97751705182;498.3933191549663;11.680268383504696;996.7866383099326;45.28206385839198;1495.1799574649074;43.0376677581021;640.9343265581034;55.30797600366084;2278.357788567855;25.113674965093075
Paraná;11660.100367578932;498.39331915497627;12.445342190945304;996.7866383099525;49.68770247525214;1495.1799574649065;37.86695533380332;646.73759218596;59.426871853427826;2298.9869152888027;20.561500844599866
Santa Catarina;7409.566575176059;498.3933191549685;7.4730387448781705;996.786638309937;45.00558262628739;1495.1799574649194;47.52137862883369;639.4556113753506;62.13264876518178;2273.101333867135;25.06873056719345
Rio Grande do Sul;11487.376275581517;498.39331915497337;10.542382944484983;996.7866383099467;44.54800977977123;1495.179957464907;44.90960727574415;632.6453652275338;56.98351445504097;2248.8926486555033;26.20945198686063
Mato Grosso do Sul;2796.5029999997605;498.3933191549686;13.143675434729841;996.7866383099372;50.85831611116685;1495.1799574649071;35.99800845410322;650.7587881457665;58.47577136695311;2313.281239613086;20.242526602014426
Mato Grosso;3550.548612658849;498.39331915496507;13.567649342653528;996.7866383099301;50.261369013080746;1495.1799574649033;36.170981644265844;634.8785896713033;59.79367203323752;2256.8311910213706;18.15579006640291
Goiás;7298.782291287304;498.3933191549726;14.796766102033985;996.7866383099451;53.1670308524467;1495.1799574649237;32.03620304551941;638.760275467063;61.39964118770559;2270.6295923537023;15.921468597422708
Distrito Federal;3128.9443713554397;498.3933191549628;11.429505159658763;996.7866383099256;37.828078919267845;1495.1799574648921;50.74241592107349;621.3140440728063;44.71031737555081;2208.6126968135504;38.23139346435214
