Grandes Regiões, Unidades da Federação e Municípios das Capitais;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Até 10%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 10% a 20%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 20% a 30%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 30% a 40%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 40% a 50%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 50% a 60%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 60% a 70%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 70% a 80%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 80% a 90%;Classes de percentual de pessoas em ordem crescente de rendimento domiciliar per capita (%)_Mais de 90%
Rondônia;1.2966631383683496;3.049719255965987;4.205197797070051;5.279966703047317;6.689781410149357;8.37235613357106;9.526484083391026;11.795711945670702;15.494776347202631;34.28934318556294
Acre;0.747653136719243;2.119012331791566;3.2052995665385215;4.4356784971225425;5.638289966480342;6.953660266844313;8.92339729206429;11.660389547034791;16.06252739245093;40.25409200295453
Amazonas;1.1896764438991883;2.4726844297574493;3.5939308535670262;4.588305830177668;5.682158535801971;6.703346006958515;8.459422296642531;11.09458105712648;16.033636365461255;40.18225818060858
Roraima;0.805675051667551;2.3453597999686298;3.147460548302602;4.057846397466032;5.114602437168968;6.423046345942355;8.001943357636176;10.56606087243705;15.44464245801941;44.09336273139156
Pará;1.2103484760818954;2.6499940128099144;3.635025250395228;4.62163269781149;5.687035377373128;6.955739802482965;8.565125846487279;10.700132737138402;15.137451965341457;40.83751383407816
Amapá;1.0961229007274833;2.3856415579549757;3.330034516655626;4.19483734149585;5.163852644555772;6.416301268196283;8.182308230901944;11.137256445721647;16.618883715035224;41.47476137875449
Tocantins;1.2880065444511049;2.7373548507587575;3.760438039420753;4.78276324952491;5.815114342123287;6.856159690016455;8.002627943895146;10.45915700351906;14.754614131147646;41.54376420514262
Maranhão;1.0237920945053067;2.4619600168921756;3.7397168127505243;4.817926902506459;6.023925308688366;7.499259305689355;9.407117458598696;11.898337627156376;15.627643051484883;37.50032142172866
Piauí;1.1506231099056934;2.3020574064107158;3.4612501852600595;4.4564613667522295;5.534215957241726;6.8858091358178255;8.815745748606316;11.148548254050942;15.29859288834898;40.94669594760531
Ceará;1.0753497208409324;2.4490834683133182;3.5219982925652427;4.587385823096166;5.7106263154874055;6.8266516050583546;8.770506952168407;11.010805943130158;14.246086749290173;41.80150513004918
