,"Grandes Regiões, Unidades da Federação, Regiões Metropolitanas das Capitais e Municípios das Capitais","Pessoas_Total
(1 000 pessoas)",Pessoas_Forma de abastecimento de água no domicílio (%)_Rede geral de distribuição,Pessoas_Forma de abastecimento de água no domicílio (%)_Poço profundo ou artesiano,"Pessoas_Forma de abastecimento de água no domicílio (%)_Poço raso, freático ou cacimba",Pessoas_Forma de abastecimento de água no domicílio (%)_Fonte ou nascente,Pessoas_Forma de abastecimento de água no domicílio (%)_Água da chuva armazenada,Pessoas_Forma de abastecimento de água no domicílio (%)_Outra forma
0,Brasil,214153.64104347018,84.68384666014303,8.237789276761754,3.0338688929938926,2.0743761092950552,0.6398755565095401,1.3302435042914595
1,Rondônia,1822.8120003035845,47.395729127959605,25.103144039280796,25.042854828746332,2.32380932764349,0,0.134462676369355
2,Acre,901.8340001875226,57.20073083406647,17.113004273441593,17.304242041593035,5.038157525449488,0.5546489435738615,2.789216381876213
3,Amazonas,4162.566000393552,73.50812002701353,13.712537265576891,2.9193827923124567,3.2388935239311865,1.5421560967386432,5.078910294426523
4,Roraima,597.803000256699,87.30473496867747,6.000063955861373,6.497724121794399,0.116915767229318,0,0.08056118643820814
5,Pará,8819.337001178223,49.72057524930184,30.665864425415684,12.291854863907622,2.904679729996441,0.06877343194493747,4.348252299432918
6,Amapá,884.4900180139189,50.20078153319892,32.34782416380268,13.9502167830534,0.5689860924072968,0,2.9321914275376066
7,Tocantins,1610.5970004762914,85.15785000766297,7.500817253327393,4.78124481260406,2.2034728865392625,0.012522738466565727,0.3440923014001064
8,Maranhão,7155.763000716515,74.07170184105671,17.29180647469951,6.6721214833785485,0.9794875571921583,0.10383830343215403,0.8810443402395494
9,Piauí,3295.812000262117,80.74725969411138,11.89397842934845,2.174204371365587,0.7547579840573989,2.002710300573609,2.427089220544401
10,Ceará,9289.534001061756,82.23445373203451,9.627035805828482,4.510353491396591,0.7238056119198807,1.250571723709205,1.6537796351131486
11,Rio Grande do Norte,3586.9720012367366,89.38384994790789,3.800845292543228,2.201150235319029,0.36767622303081315,0.5063257261419405,3.7401525750572957
12,Paraíba,4058.076000361184,70.99092767328193,10.08761227666538,3.0749881590645955,0.7788486769337629,8.500834212461337,6.566789001592103
13,Pernambuco,9672.573001046652,75.7624041547529,11.017328530032797,3.80079529903911,0.8357247971559632,2.597485021575457,5.986262197443651
14,Alagoas,3371.3970003200598,72.46903856871711,12.767464819029156,6.211868152979507,0.6860540933605287,3.2087849667526296,4.656789399161983
15,Sergipe,2357.484000202849,87.3543494836804,4.051359962260286,4.275393484866391,0.39703773892313327,0.6414969803022531,3.2803623499686996
16,Bahia,15017.041001784968,83.5385937669382,6.665315760652846,2.7528463325869956,2.4173554046392516,2.2991942107845387,2.3266945243981185
17,Minas Gerais,21515.214002115317,86.75322533144445,4.877775116847514,2.1205366732682447,5.874799818648001,0.05023353243619802,0.3234295273552406
18,Espírito Santo,4147.996000498903,84.75714146975552,7.917526169041473,2.2772408624036777,4.897551965712806,0.011615149259836756,0.138924383827443
19,Rio de Janeiro,17555.50900414592,87.00184880853952,9.675789782702829,1.098040075415772,1.3301693551402487,0.024170732500309856,0.8699812457012681
20,São Paulo,46990.78500425338,95.99196014411122,2.248551252072032,0.7791837801131717,0.8674656103284423,0.001970154945732847,0.11086905842854847
21,Paraná,11662.265001120697,89.4386151890167,5.237489428955418,1.56031646972586,3.6601456393440213,0.0027301784501501613,0.1007030945067831
22,Santa Catarina,7410.516000702245,82.95356190520803,8.601327093027518,2.948189637785595,5.392526733053627,0.004205814386615733,0.10018881653674766
23,Rio Grande do Sul,11489.431001000605,88.09306058711043,8.474322936162675,1.9259302389401942,1.3947102167526315,0.03912993855891084,0.07284608247441568
24,Mato Grosso do Sul,2796.503000309155,89.38947178111377,9.121135122720444,0.7739389025735827,0.5417849567111152,0,0.17366923688024255
25,Mato Grosso,3551.651000351492,83.42853560268006,11.592842973504403,3.3721897233936025,1.3307452712919194,0,0.275686429130309
26,Goiás,7299.666000900365,87.93459961935758,7.3138634695641045,3.6711291566925603,0.9319661021932804,0.009738350212356443,0.13870330198081723
27,Distrito Federal,3130.014000274083,95.36126573933322,2.999953231875268,1.1494768317572934,0.43358074614048764,0,0.0557234508934236
