,"Grandes Regiões, Unidades da Federação, Regiões Metropolitanas das Capitais e Municípios das Capitais","Distribuição das pessoas por destino do lixo domiciliar_Total
(1 000 pessoas)",Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Coletado diretamente por serviço de limpeza,Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Coletado em caçamba de serviço de limpeza,Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Queimado (na propriedade),Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Enterrado (na propriedade),Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Jogado em terreno baldio ou logradouro,Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Outro destino
0,Brasil,214153.64104347018,85.26574627350855,6.365748150571792,7.449192229376375,0.30702715025321187,0.37736153227044145,0.23492466401410397
1,Rondônia,1822.8120003035845,68.59768815363716,9.491674072662072,19.409660434576935,1.860076532440139,0.4878651134197508,0.15303569326378028
2,Acre,901.8340001875226,70.87494954559388,10.74630476934758,16.337952244916746,0.4214911410414334,1.28419038766578,0.3351119114350957
3,Amazonas,4162.566000393552,75.23023208989518,9.01383543137045,14.54292393304678,0.37159063346088334,0.6586869709738483,0.18273094125188022
4,Roraima,597.803000256699,88.18752161853944,0.9630763294191913,10.138081899037944,0.5574936950598989,0.04846226315619001,0.10536419478817145
5,Pará,8819.337001178223,71.78685589496578,5.818664941570028,20.939843134959766,0.4518025424324603,0.7689545254348479,0.23387896063677313
6,Amapá,884.4900180139189,76.5438428509347,16.983792295065317,4.7598562989093445,0.7657666682354133,0.9467418868550995,0
7,Tocantins,1610.5970004762914,83.57731707294677,4.216801049470795,10.063460113231768,1.148736397469915,0.6117499395408166,0.38193542734034835
8,Maranhão,7155.763000716515,60.92164657034041,13.326349420838485,22.83207642964336,0.4263703738071572,2.4527049045094427,0.04085230085956199
9,Piauí,3295.812000262117,68.06827591916259,4.758513175837957,25.70035959659686,0.3685583614454963,1.1042929469580107,0
10,Ceará,9289.534001061756,75.13981356263425,10.829523424291079,12.730763418392689,0.4927619858508333,0.621712019567066,0.18542558926552544
11,Rio Grande do Norte,3586.9720012367366,87.30273486557627,2.828437406876319,9.172716756257852,0.3289653065343573,0.3548036942254365,0.01234197052994455
12,Paraíba,4058.076000361184,75.97895563531563,5.432688829097231,17.670448804957072,0.07645195392136153,0.6855494677461331,0.155905308961607
13,Pernambuco,9672.573001046652,80.79287461653254,6.537280000394966,11.71926830721176,0.08426113882767325,0.7789820453052804,0.08733389172804253
14,Alagoas,3371.3970003200598,77.81227405658971,9.89856702043713,11.507787354492661,0.16883111381363874,0.5614679873006012,0.05107246736668886
15,Sergipe,2357.484000202849,84.97958929828762,6.561893324927754,7.746734661161061,0.06379627009305662,0.4065645202022716,0.24142192532930423
16,Bahia,15017.041001784968,70.7284257639051,13.170278328565807,14.97998384618292,0.3006855792386335,0.635048312273204,0.1855781698341746
17,Minas Gerais,21515.214002115317,87.49486813428209,4.563756984753222,7.16666619771366,0.13572434581338141,0.3189702630051129,0.3200140744324498
18,Espírito Santo,4147.996000498903,90.31389375852561,3.3434081875802573,5.989864938153992,0.10456181258006027,0.12625220485700075,0.12201909830364617
19,Rio de Janeiro,17555.50900414592,94.54770410137527,4.741698022511712,0.5077897873137462,0.006144447530659668,0.09683765751858785,0.09982598375000674
20,São Paulo,46990.78500425338,93.65283527259669,5.438013809453074,0.6769737128801767,0.05184123946325788,0.049872325796384155,0.1304636398097628
21,Paraná,11662.265001120697,90.90728040558355,3.439871870109641,4.544566105828515,0.7364683277832985,0.06633693890712143,0.3054763517865244
22,Santa Catarina,7410.516000702245,89.3488644426181,6.476162213612188,3.1343924586208973,0.4307222893079894,0.05559121562613937,0.5542673802127566
23,Rio Grande do Sul,11489.431001000605,88.57432515493534,6.483272106862091,3.324436710727741,0.9112783566530983,0.052426900793915744,0.6542607700269341
24,Mato Grosso do Sul,2796.503000309155,91.56276758765198,1.4463343955239307,5.4751810497983895,0.9109147545060341,0.08234176102029697,0.5224604514987033
25,Mato Grosso,3551.651000351492,82.9724238744606,6.414435993281211,8.26457756168155,1.1436027283094545,0.5264293966957762,0.6785304455717873
26,Goiás,7299.666000900365,93.68153969839948,1.6964206527434893,3.6017377679634643,0.2458126040908799,0.1127761567492884,0.6617131200540088
27,Distrito Federal,3130.014000274083,93.0835102417687,5.972553050179057,0.637541858168773,0.20851978494276796,0.09787506494034093,0
