,"Grandes Regiões, Unidades da Federação, Regiões Metropolitanas das Capitais e Municípios das Capitais","Pessoas_Total
(1 000 pessoas)",Pessoas_Forma de esgotamento sanitário (%)_Rede geral ou rede pluvial,Pessoas_Forma de esgotamento sanitário (%)_Fossa séptica ligada à rede,Pessoas_Forma de esgotamento sanitário (%)_Fossa séptica não ligada à rede,Pessoas_Forma de esgotamento sanitário (%)_Fossa rudimentar,Pessoas_Forma de esgotamento sanitário (%)_Vala,"Pessoas_Forma de esgotamento sanitário (%)_Rio, lago ou mar",Pessoas_Forma de esgotamento sanitário (%)_Outra forma,Pessoas_Forma de esgotamento sanitário (%)_Sem banheiro ou sanitário
0,Brasil,214153.64104347018,61.024999334100045,6.42567782358477,17.02602065366216,11.623046228643176,1.5834156461829598,1.638933267642584,0.202985134109439,0.47492191207606504
1,Rondônia,1822.8120003035845,11.45893188198402,12.600199742270489,41.24172228920456,33.99859751430912,0.36332168493387923,0.15232103674693542,0.050829352157308626,0.13407649839330332
2,Acre,901.8340001875226,35.72472666226123,7.792208267501283,26.336573283594582,13.335157086341033,9.54835416583258,4.279220075087593,0.2632264991058648,2.7205339602763177
3,Amazonas,4162.566000393552,34.386747835599124,9.287096738859761,17.34563748582972,24.57602873513848,5.4395576335344495,7.548141919503473,0.16950922115499875,1.247280430379015
4,Roraima,597.803000256699,47.81800634093539,8.151495983478718,35.20098366949487,7.876551966728356,0.5052736787542009,0.2213033982285,0.13175538041826274,0.09462958196213271
5,Pará,8819.337001178223,11.266454004631518,9.066178246976824,40.93921761820424,30.663297951803322,4.574597126335694,2.516155802110568,0.22478436165928914,0.7493148882780111
6,Amapá,884.4900180139189,12.730092187514968,7.861744073220922,30.839379183356368,38.39309580110668,2.4001740029830274,7.448375671111659,0.32713908070633085,0
7,Tocantins,1610.5970004762914,33.69723143501437,5.215335436080489,20.20176988553675,39.430117147631194,0.5257982706875522,0.05375050013094423,0.37094535762162534,0.5050519672968726
8,Maranhão,7155.763000716515,18.28187830499735,6.066347049948898,42.00264259870628,22.757829533886376,5.736938190645134,0.9435829689094988,0.7591893252522351,3.4515920276529948
9,Piauí,3295.812000262117,9.831396896381293,6.951020302642936,58.52643740873607,15.905992778775389,1.5874855864069115,0.25610791622728385,0.32902715789121634,6.612531952939656
10,Ceará,9289.534001061756,44.388461644276695,7.622576602124605,25.404506853803593,18.485467354784987,2.0615196189270923,0.8533320167096662,0.44355264160442065,0.7405832677694841
11,Rio Grande do Norte,3586.9720012367366,26.56145308438246,8.166831676303811,40.69806100942032,21.184627772340324,2.301512891962534,0.41388163398352096,0.44214826351005243,0.23148366809769252
12,Paraíba,4058.076000361184,42.39638090235746,5.61844456974301,27.950129053618447,17.865393758417394,4.680094753607955,0.8240417679403562,0.04522161793240554,0.6202935763819925
13,Pernambuco,9672.573001046652,56.44661277901343,7.411825165149944,16.670986034787227,12.978652008743172,3.967227522100012,1.5106348167344752,0.5842171297011143,0.4298445437707306
14,Alagoas,3371.3970003200598,27.57188478027585,11.80254442527212,25.774665311053262,28.85579863722966,2.9396881729944835,1.651900957455103,0.6297569532951557,0.773760762424104
15,Sergipe,2357.484000202849,44.28946977753125,6.4324831846185315,11.046646613832507,32.85293066991787,2.1613813139586866,2.3176665631711124,0.3044339612083256,0.5949879157615966
16,Bahia,15017.041001784968,54.16770452703984,2.934584706058542,16.035522486948636,22.204228516125383,1.85275205643582,1.3953995363135359,0.3434006277057554,1.0664075433723321
17,Minas Gerais,21515.214002115317,79.0527719229118,1.996544944919058,7.061581571594817,7.564568074887377,0.6798451327129232,3.3539665824398215,0.09139872252275368,0.19932304801115974
18,Espírito Santo,4147.996000498903,75.0453109523743,1.6799952069830675,12.044212424315456,5.92862011996023,1.3486250466628324,3.859620279660022,0.08617157799525689,0.007444392049386351
19,Rio de Janeiro,17555.50900414592,80.55254931709004,7.735884636590346,6.404690761630464,1.1021037943801797,1.985938264498446,1.9598616472765311,0.25753545082818136,0.0014361277056703658
20,São Paulo,46990.78500425338,90.61397827805978,2.7000063479649508,3.17851378570154,1.3987822710241447,0.4093795695635962,1.620677099691155,0.07184914910673128,0.006813498887963143
21,Paraná,11662.265001120697,69.30683659219447,4.174947679015811,14.930583244988087,10.766226244122555,0.07144015518177142,0.6178868591540818,0.0939515105009803,0.03812771484186586
22,Santa Catarina,7410.516000702245,35.58463671875531,24.878452766932732,30.157911320079084,7.875909554936429,0.5333546962971804,0.8572872445034718,0.08942648115396987,0.023021217340578062
23,Rio Grande do Sul,11489.431001000605,51.91803390333638,18.4639609607676,21.95322896190931,6.370297126505018,0.7473852126309949,0.44644628167176187,0.08944108299858387,0.011206470179836277
24,Mato Grosso do Sul,2796.503000309155,48.795006427533764,8.750576495770526,26.25795614627513,16.18932781190647,0.004823294270561787,0,0.002309824243451877,0
25,Mato Grosso,3551.651000351492,28.97824415422995,8.18068676328286,48.55264153914642,13.670848582745979,0.09095592568499195,0.4780995099687268,0.04852352494176457,0
26,Goiás,7299.666000900365,56.267319312899374,4.547115537198082,19.364966149347428,19.585741694143792,0.19573283265162442,0.030864009236889537,0.0046528439548892166,0.003607620568359089
27,Distrito Federal,3130.014000274083,88.31842814938052,0.8908438808669401,9.11466445219866,1.4973285074228553,0.06918418865763518,0.04220315734799708,0.06734766412499836,0
