,"Grandes Regiões, Unidades da Federação, Regiões Metropolitanas das Capitais e Municípios das Capitais","Pessoas_Total
(1 000 pessoas)",Pessoas_Proporção de pessoas com acesso simultâneo aos três serviços de saneamento básico (%)
0,Brasil,214153.64104347018,65.60130879225065
1,Rondônia,1822.8120003035845,16.288653233429834
2,Acre,901.8340001875226,38.14365798695336
3,Amazonas,4162.566000393552,40.54460420096837
4,Roraima,597.803000256699,55.259749339096636
5,Pará,8819.337001178223,16.702532835313182
6,Amapá,884.4900180139189,16.616103595520368
7,Tocantins,1610.5970004762914,38.204765017974054
8,Maranhão,7155.763000716515,22.415470375295957
9,Piauí,3295.812000262117,15.401890780429632
10,Ceará,9289.534001061756,49.92278776886336
11,Rio Grande do Norte,3586.9720012367366,34.27556356128446
12,Paraíba,4058.076000361184,46.030676379088206
13,Pernambuco,9672.573001046652,59.919262612319145
14,Alagoas,3371.3970003200598,34.626362100839884
15,Sergipe,2357.484000202849,49.990683798837395
16,Bahia,15017.041001784968,55.2721996084724
17,Minas Gerais,21515.214002115317,79.58530511242854
18,Espírito Santo,4147.996000498903,75.0920459455192
19,Rio de Janeiro,17555.50900414592,83.83632302573062
20,São Paulo,46990.78500425338,92.88153679495667
21,Paraná,11662.265001120697,72.56630288358924
22,Santa Catarina,7410.516000702245,58.90019186154706
23,Rio Grande do Sul,11489.431001000605,68.21048723269891
24,Mato Grosso do Sul,2796.503000309155,56.75162097162172
25,Mato Grosso,3551.651000351492,36.393672548612166
26,Goiás,7299.666000900365,59.991694561679466
27,Distrito Federal,3130.014000274083,88.81268403832117
