,"Grandes Regiões, Unidades da Federação, Regiões Metropolitanas das Capitais e Municípios das Capitais","Pessoas_Total
(1 000 pessoas)",Pessoas_Tipos de bens (%)_Telefone (fixo ou ao menos um celular),Pessoas_Tipos de bens (%)_Geladeira,Pessoas_Tipos de bens (%)_Máquina de lavar roupa,Pessoas_Tipos de bens (%)_Automóvel,Pessoas_Tipos de bens (%)_Motocicleta,Pessoas_Tipos de bens (%)_Acesso à Internet,Pessoas_Tipos de bens (%)_Microcomputador
0,Brasil,214153.64104347018,97.98471474418997,98.68264333563536,71.04742016012841,52.609038418484516,27.994568421600277,92.06396047214992,42.49028207434477
1,Rondônia,1822.8120003035845,98.33514318025794,98.92209470248451,79.89558800162881,55.12278722569619,54.74086626947806,92.02615425459155,37.38082082240854
2,Acre,901.8340001875226,95.29355494187755,92.45569086843979,60.391303342091945,31.987268618019083,38.61257327755462,79.30882440908107,26.720602162303944
3,Amazonas,4162.566000393552,94.79825795665022,93.81607091594088,66.98990581369998,27.518223875021597,25.788842081167754,83.82332062244652,30.210195304096267
4,Roraima,597.803000256699,97.97885508457446,96.74729925565272,71.87788030826087,45.30938467092198,37.095977963045804,91.75152917331926,29.20689778835943
5,Pará,8819.337001178223,94.4902913478763,91.98674219947239,40.960693156139385,23.964561089514632,38.34502008119675,85.0115676867379,22.615625782528568
6,Amapá,884.4900180139189,97.57725275718548,98.29701557694636,83.06494254096206,32.93031685910519,15.977413954794455,90.89849093375129,29.222975051235924
7,Tocantins,1610.5970004762914,98.04532864231223,98.67901770230807,58.448027644608814,48.27738242830422,51.14458707313596,89.91314858941155,32.86598901777782
8,Maranhão,7155.763000716515,93.95651494828859,98.1506026441771,34.27353707101952,22.59998268465839,49.66296426642851,84.43705846172709,20.7563619857111
9,Piauí,3295.812000262117,95.89394029238036,98.2297746296092,35.3370381130666,33.25388825309798,57.95254415245148,87.01353756241224,27.468246866175587
10,Ceará,9289.534001061756,96.63580934036807,98.15211237951524,46.51362723414977,30.000818664991495,40.42426005297923,89.76779625991387,27.854020343703628
11,Rio Grande do Norte,3586.9720012367366,96.65690440777745,99.4061653874531,49.26037020954602,37.07868985421301,36.9294672472045,91.22326984253911,33.76326155892048
12,Paraíba,4058.076000361184,97.30689419865664,98.62045456829834,41.03574041709436,36.15105966170448,44.73660789501932,89.13089746824713,29.667704447987855
13,Pernambuco,9672.573001046652,96.29200321452508,98.6608319108575,47.12314735817537,32.80703721737416,23.905351752625933,89.08967780541278,30.205709900702715
14,Alagoas,3371.3970003200598,96.69995049119072,98.2063751371268,37.467232416606336,28.359392783517002,32.628080426090776,89.76589960142367,24.467688969877226
15,Sergipe,2357.484000202849,97.83061748558104,98.23899302502753,45.81607386613744,32.58584810488974,33.48480659517503,90.11153850295095,28.381456802361757
16,Bahia,15017.041001784968,96.73255947270148,97.57293818851494,42.17809010992934,34.79857780968525,30.16169923683971,89.21970851208359,27.406092972365137
17,Minas Gerais,21515.214002115317,98.55188031314215,99.35427908460682,71.22009647678772,58.822713240570266,29.195154081629312,92.42458049570843,44.23733688728344
18,Espírito Santo,4147.996000498903,98.88777159691098,99.53095189036539,74.71842571081224,55.281103923748105,27.769434264397205,92.41446189317503,44.76906680415278
19,Rio de Janeiro,17555.50900414592,98.65927408507255,99.43166537988287,84.3478563107586,49.674568035789335,13.035526039523011,93.71449996156038,51.30677472231298
20,São Paulo,46990.78500425338,99.33019771870103,99.61174932181515,89.54962474563112,66.38074051048662,19.877614403149472,95.66824650424232,55.463781819854155
21,Paraná,11662.265001120697,98.64253879900751,99.51075697408352,88.35149169202485,73.59723534487455,26.049712130817053,93.46712489215902,49.90312737124029
22,Santa Catarina,7410.516000702245,99.17794185944052,99.69276995331613,95.65879874415968,79.00314516502348,27.51180768459914,94.06289692462214,54.67473451131034
23,Rio Grande do Sul,11489.431001000605,98.98414840883571,99.68546117463566,90.96472534907878,72.15987542531724,19.93727443022453,93.76409781526195,50.865235257546644
24,Mato Grosso do Sul,2796.503000309155,98.96413648246222,99.20272016692078,81.60393517513825,63.18523720110836,35.03201421924667,94.18375109628597,43.165975533235105
25,Mato Grosso,3551.651000351492,99.11160735625192,99.39376793815335,85.16978778019754,59.71433835927068,48.71018256825698,94.08720783007804,38.62440300316703
26,Goiás,7299.666000900365,99.41463792367917,99.31846691344207,80.45039301746257,63.73147079321816,32.59099883419878,94.15514288231533,42.26579097151048
27,Distrito Federal,3130.014000274083,99.76601427366707,99.11130997690498,86.37961762127671,70.95881059728542,11.328310601317217,97.62569671324297,67.36861871785116
