,"Grandes Regiões, Unidades da Federação e Municípios das Capitais",Taxa de analfabetismo da população de 15 anos ou mais de idade (%)
0,Brasil,5.620517531486017
1,Rondônia,4.854494247266755
2,Acre,8.50838354115026
3,Amazonas,4.888392893091057
4,Roraima,3.858174570483336
5,Pará,7.427824919953097
6,Amapá,4.989746183423628
7,Tocantins,7.2447702384844685
8,Maranhão,12.147590462240391
9,Piauí,14.802111750448413
10,Ceará,12.044900671800246
11,Rio Grande do Norte,10.486636961642114
12,Paraíba,13.646608192691453
13,Pernambuco,11.034526574086556
14,Alagoas,14.406473812718644
15,Sergipe,11.736821614213452
16,Bahia,10.279759753307323
17,Minas Gerais,4.754357722018595
18,Espírito Santo,4.7434627299279395
19,Rio de Janeiro,2.1463722028881547
20,São Paulo,2.1751103882916354
21,Paraná,3.9450003885642384
22,Santa Catarina,2.1523341994609013
23,Rio Grande do Sul,2.4783231726841874
24,Mato Grosso do Sul,4.004548668749912
25,Mato Grosso,4.938638962185703
26,Goiás,4.5116624767526865
27,Distrito Federal,1.8856177336862885
