,Grandes Regiões e Unidades da Federação,Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Sem instrução,Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino fundamental incompleto,Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino fundamental completo,Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino médio incompleto,Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino médio completo,Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino superior incompleto,Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino superior completo
0,Brasil,5.999940502969947,27.992449846814907,7.793016664795099,5.004811200738223,29.943701869379453,4.081301072706918,19.184778842595595
1,Rondônia,7.412772145401586,33.92585294804113,6.994633558989372,5.334414182975538,26.530101964639154,3.2632209356758692,16.53900426427741
2,Acre,10.648060763652989,27.400938596498055,5.957848878447812,5.183229729708154,26.627271254636018,3.9030840283856523,20.279566748670838
3,Amazonas,6.028352287149213,24.76485227807647,6.672640448347237,4.6732306569251545,36.246923595502146,5.0316597842768855,16.582340949722465
4,Roraima,5.897584890814053,19.97807493770526,6.509158874555839,5.037471874862102,37.94786301210024,5.5694741061021835,19.060372303860916
5,Pará,7.325206580763703,34.91741843567173,6.958573155466088,6.455374010326371,27.992280858836793,3.391993430923389,12.95915352801094
6,Amapá,7.418079895824725,21.129596748932094,6.178919225703449,4.7884195933750515,33.07473877318011,5.699935815822987,21.710309947161157
7,Tocantins,9.062537249482599,28.251727207360975,5.059338324851917,5.059840908726726,28.744236120503945,4.287012445479831,19.535307743594096
8,Maranhão,12.806792453393111,31.361804294961335,7.747538681727349,5.310952686141117,28.65715975278497,2.72245733767086,11.393294793321413
9,Piauí,13.489837744989499,35.29262170593251,6.170484016769343,5.058502223765048,21.849631321904404,2.4571906644288344,15.68173232221081
10,Ceará,12.076757254253751,30.31436262126669,8.126708845211795,5.256227248525526,28.111468186634944,3.4122029292905904,12.702272914817543
11,Rio Grande do Norte,8.700684067170451,32.61956947494375,6.873118384086163,6.308850730331514,26.867845568699593,3.5582806660618127,15.07165110870723
12,Paraíba,12.629357203441048,36.68608289143958,6.017183355720106,4.99705579381658,24.148453766815347,2.81494498979288,12.706921998974002
13,Pernambuco,10.874280454278411,31.22314490682253,7.046070937086674,4.396068180458301,30.807549347211236,2.7648134822060157,12.888072691936337
14,Alagoas,12.52265765343444,35.24938771240418,6.467099629733721,5.2559682086706925,23.954398008916783,3.6152113612076984,12.935277425632593
15,Sergipe,9.896768406258445,35.32199167617662,6.3181075277513985,5.068651274819386,26.249512506961096,4.327753872506139,12.817214735527234
16,Bahia,12.041415714886652,31.10797683473679,5.403234904652507,5.779898545787795,31.003547418786596,2.7885567280914194,11.875369853058563
17,Minas Gerais,3.9875480356651787,34.191497373444356,7.728180998143352,5.023490889418947,28.062444654781277,3.559583923114395,17.447254125433332
18,Espírito Santo,5.093536522962579,29.196880050277247,8.345153318878769,5.19600162667294,29.70457318885332,3.9399145317494484,18.52394076060608
19,Rio de Janeiro,3.398473401117925,20.296131961726115,8.594001649334324,4.594307168771981,33.19438477763746,5.7168900417529915,24.205810999659725
20,São Paulo,2.8893397092416397,21.9005893467779,8.003332705020174,4.398230629416683,33.50723567206931,4.315980080231871,24.985291857242238
21,Paraná,4.810319660828082,29.499767407607482,9.062766305229111,4.877787602396615,27.695080884194713,3.638311052840537,20.415967086903823
22,Santa Catarina,3.0213209876235614,27.655062619305927,11.00205900020178,4.4986406336091775,28.703385445288284,4.271152548744871,20.848378765226546
23,Rio Grande do Sul,2.2747310821936217,31.167220725386407,9.933714395390874,5.182069876441088,25.834847807946886,5.973239168664893,19.634176943976122
24,Mato Grosso do Sul,4.8450385467578805,28.806693270257167,7.627808955118492,5.444815975412313,27.299697121589226,4.800736168949706,21.175209961914753
25,Mato Grosso,6.834309656733953,28.317504364732642,7.271299512275421,7.016296092373072,28.32071376338099,4.555692905260688,17.684183705243996
26,Goiás,5.876033393798432,28.484673433404804,7.631749304052096,6.126074266586358,29.11532656579494,4.338152315149787,18.427990721214393
27,Distrito Federal,2.383950867754916,16.830100525514478,5.463810403345424,4.027037728673308,28.51705950100242,5.775720680032713,37.00232029367625
