,Grandes Regiões e Unidades da Federação,Número mensal médio de tomógrafos computadorizados em uso (total)_2010,Número mensal médio de tomógrafos computadorizados em uso (total)_2011.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2012.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2013.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2014.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2015.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2016.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2017.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2018.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2019.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2020.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2021.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2022.0,Número mensal médio de tomógrafos computadorizados em uso (total)_2023.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2010,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2011.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2012.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2013.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2014.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2015.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2016.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2017.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2018.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2019.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2020.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2021.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2022.0,Número mensal médio de tomógrafos computadorizados por 10.000 mil habitantes_2023.0
0,Brasil,2679.166666666667,2857.416666666667,3055.833333333333,3299.916666666667,3560.75,3750.0,3952.333333333333,4211.083333333333,4538.5,4853.416666666667,5080.083333333333,5595.166666666667,6074.833333333333,6425.166666666667,0.1375700075796752,0.1456686844725636,0.1545921864024777,0.165636264292859,0.1773183579151297,0.1852733460201274,0.1938635412077133,0.205206928639664,0.2197511809453158,0.2334494639498304,0.2428745741037509,0.2663050775039238,0.2880938724713637,0.303510327178417
1,Rondônia,18.25,23.75,27.5,30.16666666666667,34.58333333333334,38.66666666666666,38.0,39.16666666666666,45.83333333333334,51.16666666666666,56.75,66.16666666666667,71.25,75.16666666666667,0.1149354346259844,0.1481275431160297,0.1697666048716225,0.1843957585307998,0.20935830619747,0.2319666895833758,0.2261791672321146,0.2315405982299657,0.2693081190424148,0.2987729870291649,0.329414605576075,0.3825498673505927,0.4107461571454267,0.4319290372196412
2,Acre,6.166666666666667,7.416666666666667,9.0,9.0,9.583333333333334,10.33333333333333,11.0,11.25,12.0,11.16666666666667,11.91666666666667,14.25,16.16666666666667,19.16666666666667,0.08060780902310744,0.09528544736410476,0.1136821522810324,0.1119628581878438,0.1175110705646826,0.124998437519531,0.1315326906566351,0.1332155510505675,0.1409271124974163,0.1301599179720541,0.1379791591646529,0.1641050917491415,0.1852772932553717,0.2186522956969989
3,Amazonas,23.25,24.5,27.91666666666667,30.0,30.66666666666667,31.08333333333333,32.91666666666666,36.66666666666666,41.75,42.5,45.25,48.58333333333334,49.91666666666666,52.16666666666666,0.06547090050788523,0.06783124140861956,0.07600199901138416,0.0803150706678921,0.08074291202296188,0.0805453416288557,0.08408765279897354,0.09244477433222097,0.1038949275136911,0.104338518343939,0.1097974243586739,0.1167864940165652,0.1188551208064084,0.1230180243808361
4,Roraima,1.916666666666667,3.0,4.0,5.166666666666667,6.0,6.75,6.166666666666667,6.0,6.0,6.0,6.25,7.333333333333333,9.333333333333334,11.16666666666667,0.04078092275525843,0.06230788402425853,0.08099198989219966,0.1019022185756568,0.1152584959918858,0.1263146075826191,0.1124825879993847,0.1063805266899876,0.1021281810800736,0.09706774519716886,0.09750770310854558,0.1119640737822889,0.1385993153193823,0.1606090679400329
5,Pará,57.58333333333334,66.0,73.16666666666667,81.0,87.33333333333333,93.91666666666667,104.4166666666667,110.0,122.4166666666667,130.3333333333333,129.0,157.6666666666667,187.5,197.25,0.074777693816099,0.0847394192242671,0.09290717426236783,0.1017449638127079,0.108526226273868,0.115498638263881,0.1272159226819594,0.132916988990365,0.1467919552492583,0.1550769455315034,0.1523887467643971,0.1850514499759179,0.2187853155963592,0.2289313519310316
6,Amapá,6,6.833333333333333,5.0,6.666666666666667,7.583333333333333,8.5,8.833333333333334,9.833333333333334,9.25,8.583333333333334,11.08333333333333,14.08333333333333,18.25,20.83333333333333,0.08733789722367381,0.0976511329913162,0.07024168759868957,0.09210253037886837,0.1030508020070219,0.1137808714276153,0.1166966995531177,0.1284466145391118,0.119697095177954,0.110117841057405,0.1410931601006365,0.1780737102932505,0.2294278634797355,0.2607021355050447
7,Tocantins,13.58333333333333,13.83333333333333,14.5,15.66666666666667,19.25,24.25,26.41666666666667,27.66666666666667,30.0,32.75,34.5,36.83333333333334,42.0,44.83333333333334,0.09726641976510936,0.09805026458214167,0.1016816033435716,0.1087172497959238,0.1321924722395808,0.1648072333045176,0.1778401920180385,0.1846245148879652,0.1984518112696815,0.2147332586739123,0.2243339233207143,0.2378624496345098,0.2696490709947483,0.286074469119165
8,Maranhão,41.91666666666666,45.33333333333334,51.75,57.0,62.66666666666666,68.75,79.25,91.58333333333333,97.25,103.1666666666667,113.9166666666667,138.1666666666667,154.5,175.1666666666667,0.06330754564020945,0.06799296952695091,0.07710763092875732,0.08441213023044217,0.09225582067980957,0.1006379936458269,0.1154595113724341,0.1329148752184509,0.1405953087285037,0.1485112289124252,0.1634153819611606,0.1977155435708295,0.2207746202640807,0.2501225386252504
9,Piauí,34.16666666666666,38.33333333333334,42.83333333333334,46.75,51.0,54.66666666666666,61.5,65.08333333333333,70.08333333333333,69.58333333333333,66.91666666666667,77.5,87.66666666666667,97.58333333333333,0.1073850422169888,0.1199100403596342,0.1333663791349805,0.1449331524898275,0.1574088163134794,0.1679048626476795,0.188010494348374,0.1980777982635704,0.2122305139329711,0.2095739609850086,0.2005977663551131,0.2314914381024752,0.2611425193739451,0.289919142516724
