,Grandes Regiões e Unidades da Federação,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2010,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2011.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2012.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2013.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2014.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2015.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2016.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2017.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2018.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2019.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2020.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2021.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2022.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso (total)_2023.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2010,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2011.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2012.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2013.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2014.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2015.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2016.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2017.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2018.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2019.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2020.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2021.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2022.0,Número mensal médio de Eletrocardiografo e Eletroencefalografo em uso por 10.000 mil habitantes_2023.0
0,Brasil,31623.08333333333,33570.0,35191.91666666666,36755.41666666666,38456.25,39278.25,40745.16666666666,42537.41666666666,44861.16666666666,46883.41666666666,47855.33333333334,51544.75,54954.0,57386.25,1.623783942964616,1.711370201899371,1.780331172465927,1.844904136728954,1.915045735188853,1.940590080884019,1.998566828986711,2.072856777099872,2.172148144449628,2.255093522907205,2.28792382708808,2.453301118883032,2.606147329329966,2.710796531302809
1,Rondônia,148.3333333333333,174.0,192.8333333333333,207.0,224.0833333333333,243.9166666666667,255.0,266.0,286.25,315.5833333333333,325.25,406.75,441.75,459.5833333333333,0.9341784184212427,1.085229157986912,1.190424011130105,1.265301282294217,1.356540928590354,1.463289871574442,1.517781253794453,1.572505509680959,1.681951616201263,1.842757820650566,1.887966527993276,2.351669902441111,2.546626174301645,2.640896496969313
2,Acre,45.91666666666666,47.83333333333334,46.08333333333334,43.83333333333334,45.08333333333334,45.58333333333334,46.0,48.08333333333334,49.91666666666666,62.25,78.0,95.83333333333333,108.3333333333333,110.0,0.6002013888071918,0.6145376043482711,0.5820947241797306,0.5453005871000541,0.5528129493521154,0.5514043977676085,0.5500457972913831,0.5693731330087216,0.5862176415691137,0.7255929755606298,0.9031363145322738,1.103630733985454,1.24154887232981,1.254874044869733
3,Amazonas,242.8333333333333,260.6666666666667,286.75,302.3333333333333,310.1666666666667,336.3333333333333,340.25,329.3333333333333,339.1666666666667,362.6666666666667,372.6666666666667,407.5,423.75,449.8333333333333,0.6838071830823569,0.7216874936264013,0.7806653092482772,0.8093974343975348,0.8166443438844134,0.8715308279197362,0.8691895857676176,0.830322154911221,0.8440166766082293,0.8903553565349466,0.9042616606482311,0.9795642465540372,1.008978780134535,1.060784817264782
4,Roraima,28,26.16666666666667,34.75,38.83333333333334,44.41666666666666,46.5,52.25,64.91666666666667,71.75,73.66666666666667,83.91666666666667,83.75,87.08333333333333,92.75,0.5957560889463841,0.5434632106560328,0.7036179121884846,0.7659102234880012,0.8532330328288212,0.870167296680265,0.9530619280488405,1.150978198493061,1.221282832082547,1.191776204920796,1.309203427070739,1.27868061535455,1.293181111685308,1.334014124009378
5,Pará,536.6666666666666,575.0833333333334,623.9166666666666,663.0,705.75,720.3333333333334,760.8333333333334,807.1666666666666,878.0833333333334,928.8333333333334,933.1666666666666,1030.166666666667,1123.0,1145.416666666667,0.6969151203700108,0.7383670859427618,0.7922505850824009,0.8328013704669792,0.8770120327417826,0.8858653319902287,0.926960394322657,0.9753287540611175,1.052925005079262,1.105171122055075,1.102357355470102,1.209094093341595,1.310378183545127,1.329388015332501
6,Amapá,42,43.25,42.91666666666666,44.91666666666666,46.66666666666666,50.83333333333334,55.25,56.25,61.5,73.08333333333333,87.83333333333333,91.0,107.9166666666667,125.0833333333333,0.6113652805657167,0.6180602197865013,0.6029078185554188,0.6205407984276256,0.6341587815816735,0.680454231086719,0.7299048283369531,0.7347581763889868,0.7958239301020725,0.9376053068674189,1.118136772526849,1.150630128048696,1.35666248039387,1.565255621572288
7,Tocantins,101.6666666666667,103.0,112.4166666666667,126.0833333333333,139.8333333333333,156.1666666666667,182.25,203.0833333333333,210.75,219.0,224.9166666666667,242.0833333333333,275.8333333333333,295.75,0.7280063319842541,0.7300610061658259,0.7883246144280351,0.8749425475597488,0.9602552745368687,1.061335928565862,1.226929021903628,1.355210671030034,1.394123974169512,1.435926218307994,1.462505456624656,1.563326733457582,1.770909573398049,1.887134369709882
8,Maranhão,375.6666666666667,391.0,422.5833333333333,443.5,486.8333333333333,521.8333333333334,564.0833333333334,630.8333333333334,675.4166666666666,693.3333333333334,728.5833333333334,794.0,839.5833333333334,870.75,0.5673765720597698,0.5864393621699516,0.629650235812767,0.6567856097754577,0.71670013884501,0.7638728681335368,0.8218143348895964,0.9155283033700391,0.976456707150405,0.998072233078657,1.045165094723063,1.136208503704984,1.199732631693966,1.243354141815053
9,Piauí,277.1666666666667,283.0,294.75,307.0,315.6666666666667,314.5,327.75,366.0,379.75,390.1666666666667,348.25,372.9166666666667,411.3333333333333,454.0833333333333,0.8711284156431824,0.8852489066550385,0.9177371264599727,0.9517535361364077,0.9742885558749343,0.9659648652932049,1.001958366222432,1.113902291899617,1.149981512476277,1.175120102193785,1.043957740470757,1.113896973665136,1.225284672651894,1.349077205442894
