,Grandes Regiões e Unidades da Federação,Número mensal médio de Ultrassom em uso (total)_2010,Número mensal médio de Ultrassom em uso (total)_2011.0,Número mensal médio de Ultrassom em uso (total)_2012.0,Número mensal médio de Ultrassom em uso (total)_2013.0,Número mensal médio de Ultrassom em uso (total)_2014.0,Número mensal médio de Ultrassom em uso (total)_2015.0,Número mensal médio de Ultrassom em uso (total)_2016.0,Número mensal médio de Ultrassom em uso (total)_2017.0,Número mensal médio de Ultrassom em uso (total)_2018.0,Número mensal médio de Ultrassom em uso (total)_2019.0,Número mensal médio de Ultrassom em uso (total)_2020.0,Número mensal médio de Ultrassom em uso (total)_2021.0,Número mensal médio de Ultrassom em uso (total)_2022.0,Número mensal médio de Ultrassom em uso (total)_2023.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2010,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2011.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2012.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2013.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2014.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2015.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2016.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2017.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2018.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2019.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2020.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2021.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2022.0,Número mensal médio de Ultrassom em uso por 10.000 mil habitantes_2023.0
0,Brasil,24173.08333333333,25968.0,27371.5,28947.66666666667,30780.66666666667,31701.0,33411.83333333334,35424.5,38247.5,40842.91666666666,41364.41666666666,44742.75,48046.0,50647.58333333334,1.241240904780387,1.323826672711435,1.384702491447642,1.453001348517362,1.532816757387152,1.566226757915749,1.638863876589841,1.726242932799345,1.851918760208431,1.964545320715151,1.977598480530194,2.129556135918862,2.278541226935028,2.392477173867781
1,Rondônia,203.5833333333333,225.0833333333333,235.6666666666667,262.75,286.6666666666667,314.6666666666667,324.9166666666667,342.4166666666667,355.6666666666667,388.0833333333333,397.75,443.9166666666667,473.1666666666667,496.5833333333333,1.282133638316346,1.403833312127706,1.454848359324086,1.606076869192298,1.735403791130836,1.887728922126783,1.933931081223717,2.024255996014743,2.089831003769139,2.266100652434562,2.308804570359187,2.566553077300513,2.72773880733536,2.853509016398937
2,Acre,58.91666666666666,67.25,68.5,68.83333333333333,74.0,78.08333333333333,79.83333333333333,84.75,84.83333333333333,92.0,105.1666666666667,114.8333333333333,120.5833333333333,126.6666666666667,0.7701313645856345,0.8639927643014891,0.8652474923611909,0.8563085265107314,0.9073898318385925,0.9445446448048431,0.9546084670383063,1.003557151247608,0.996276392516457,1.072362309262296,1.217690201858685,1.322437522984309,1.381939398662489,1.445006475910601
3,Amazonas,252.5,279.3333333333333,309.5833333333333,329.4166666666667,338.8333333333333,346.0,360.1666666666667,352.6666666666667,358.3333333333333,362.25,391.25,419.9166666666667,448.75,483.5,0.7110280592791837,0.7733684394615399,0.8428281382904241,0.8819040954171596,0.8921214138189212,0.8965797813485493,0.9200679377143384,0.8891506476680889,0.8917129507163108,0.8893324298845157,0.9493534205598043,1.009411909690346,1.068505551823888,1.140176641306088
4,Roraima,63.5,66.5,69.5,74.5,81.25,82.08333333333333,79.58333333333333,79.16666666666667,81.41666666666667,78.0,86.91666666666667,96.5,108.1666666666667,121.75,1.351089701717693,1.381158095871064,1.407235824376969,1.469364248494148,1.560792133223454,1.53604800578864,1.451633399181248,1.403631949381782,1.385822679378221,1.261880687563195,1.356007124562841,1.473345425453302,1.606267065040699,1.751118270599911
5,Pará,591.9166666666666,669.0833333333334,714.4166666666666,750.9166666666666,809.0,847.6666666666666,899.75,940.3333333333334,1020.666666666667,1090.5,1072.0,1161.25,1281.333333333333,1313.916666666667,0.7686627484453705,0.859056561807627,0.9071676593978125,0.9432344330414717,1.005317370865182,1.042459759024133,1.096209351314537,1.136238866490362,1.223899161261345,1.297529993110776,1.266362298693284,1.362945008147154,1.495130227826497,1.524951679719719
6,Amapá,46.16666666666666,49.66666666666666,41.08333333333334,38.83333333333334,39.33333333333334,40.08333333333334,55.16666666666666,60.5,74.41666666666667,92.66666666666667,109.8333333333333,127.5,150.25,172.5,0.6720165980821569,0.7097570154002982,0.577152533102566,0.5364972394569082,0.5345052587616963,0.5365548936929702,0.728803916077018,0.7902732386050436,0.9629685224676839,1.18884504131878,1.398201391072473,1.612146607980316,1.888851314401659,2.15861368198177
7,Tocantins,130.0833333333333,136.1666666666667,140.4166666666667,154.75,171.6666666666667,180.9166666666667,185.9166666666667,217.25,246.9166666666667,270.5,290.3333333333333,328.4166666666667,411.0,448.3333333333333,0.9314900690388694,0.9651453754651776,0.9846752967466561,1.073871983356546,1.178859276249076,1.229541249155009,1.25161346495976,1.449747320219654,1.633368657755739,1.773598365535673,1.887872919926011,2.120850484184623,2.638708766162893,2.86074469119165
8,Maranhão,468.1666666666667,487.0833333333333,501.8333333333333,526.9166666666666,542.5833333333334,565.1666666666666,597.8333333333334,646.5833333333334,691.5,715.75,751.1666666666666,840.75,928.8333333333334,996.9166666666666,0.7070810962359776,0.7305494611857134,0.7477329363171925,0.7803185664431077,0.798773468678511,0.8273053004921186,0.8709847892595605,0.9383862755413651,0.9997085448407231,1.030341635806801,1.07756126773804,1.203107430088118,1.327267485147489,1.423509005506123
9,Piauí,284.0833333333333,292.6666666666667,305.5833333333333,323.1666666666667,335.8333333333333,338.4166666666667,367.9166666666667,396.6666666666667,417.3333333333333,429.8333333333333,395.4166666666667,433.75,485.9166666666667,528.1666666666666,0.8928673388236947,0.915487090745729,0.9514679227392479,1.001873022024156,1.036531911345297,1.039423242701565,1.124751128113918,1.207234724372081,1.263793595453412,1.294589809294221,1.185350437552941,1.295605306799337,1.447454401586952,1.569178074526897
