,Grandes Regiões e Unidades da Federação,"Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2010","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2011.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2012.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2013.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2014.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2015.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2016.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2017.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2018.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2019.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2020.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2021.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2022.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso (total)_2023.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2010","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2011.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2012.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2013.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2014.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2015.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2016.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2017.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2018.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2019.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2020.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2021.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2022.0","Número mensal médio de Endoscópios das Vias Respiratórias, das Vias Urinarias e Digestivo em uso por 10.000 mil habitantes_2023.0"
0,Brasil,13320.41666666667,14419.16666666667,15076.16666666667,15825.25,16610.0,17144.41666666667,17913.5,18809.16666666667,19979.5,20882.41666666667,21071.33333333333,22638.91666666667,23707.91666666667,25616.91666666667,0.6839775384626186,0.7350769189619902,0.7626913229020411,0.7943337836310718,0.8271453836889151,0.847040917705753,0.8786643869674552,0.916574433800854,0.9673942315075326,1.004444767804881,1.007402984032054,1.077511862772311,1.124328050820881,1.210085148318162
1,Rondônia,91.41666666666667,104.25,114.6666666666667,115.6666666666667,117.5833333333333,126.0,127.1666666666667,128.6666666666667,128.6666666666667,138.0,132.0,157.0833333333333,164.1666666666667,189.25,0.5757268118023052,0.6502019524145725,0.7078752978889472,0.7070202012175417,0.711818241071398,0.7558914539872075,0.7569065991144888,0.7606354971639725,0.7560213378208879,0.8058111832578129,0.7662154702386239,0.9081945843272886,0.9463975784520355,1.087484305460981
2,Acre,39.16666666666666,43.5,44.58333333333334,43.25,43.83333333333334,43.91666666666666,41.5,41.58333333333334,38.66666666666666,41.5,41.5,46.0,46.83333333333334,43.41666666666666,0.511968516768385,0.5588652081355358,0.5631476987995586,0.5380437351804717,0.5374854184088961,0.5312433594580067,0.496236969295487,0.4924041479572827,0.4540984736027859,0.4837286503737532,0.4805148340139662,0.5297427523130182,0.536731127884118,0.4952949828614627
3,Amazonas,103.0833333333333,108.25,112.5,118.25,137.75,146.5833333333333,146.0833333333333,144.5,141.5833333333333,132.8333333333333,138.6666666666667,151.0,165.0833333333333,182.75,0.2902777918575413,0.299703342142166,0.3062767124339361,0.316575236882608,0.3626848738422717,0.3798371472524322,0.3731788743205079,0.3643164515728891,0.3523303030853517,0.326109016157331,0.3364694551249232,0.3629796349194101,0.3930751157220284,0.4309561141648142
4,Roraima,14.41666666666667,15.16666666666667,16.66666666666667,14.41666666666667,14.5,16.41666666666667,22.66666666666667,28.75,36.25,36.5,38.25,38.75,41.66666666666666,44.91666666666666,0.3067434624634656,0.3150009692337515,0.3374666245508319,0.284340061509494,0.278541365313724,0.307209601157728,0.413449512646387,0.5097400237228574,0.6170244273587779,0.5904954499494439,0.5967471430242989,0.5916283444177767,0.6187469433900996,0.6460319971617741
5,Pará,306.1666666666667,334.8333333333333,346.75,381.0,412.75,437.0833333333333,462.5,502.4166666666667,527.5833333333334,552.4166666666666,513.6666666666666,566.3333333333334,611.75,636.75,0.3975879118384192,0.4299027606604864,0.4403038178880553,0.4785781631190333,0.5129106858153323,0.537524718450804,0.5634863295170587,0.6070882777446291,0.6326343558087506,0.6572922454784758,0.6067986014571987,0.664698548644999,0.7138235563523879,0.7390217406442807
6,Amapá,15.58333333333333,17.41666666666667,17.0,17.0,17.83333333333333,17.0,17.83333333333333,20.08333333333333,21.08333333333333,30.0,34.75,35.58333333333334,41.33333333333334,50.16666666666666,0.2268359275114862,0.2488913023803059,0.2388217378355446,0.2348614524661143,0.2423392486758538,0.2275617428552306,0.2355952236261055,0.2623358822366605,0.2728231088290303,0.3848778910744252,0.4423747952027477,0.4499258834036567,0.5196174442280769,0.6277707422961476
7,Tocantins,48.58333333333334,55.91666666666666,60.58333333333334,64.41666666666667,68.33333333333333,70.41666666666667,74.25,80.41666666666667,87.16666666666667,90.16666666666667,92.58333333333333,100.1666666666667,107.8333333333333,118.6666666666667,0.3478915504482132,0.3963357080398618,0.4248421013263021,0.4470129472991975,0.4692546633612826,0.4785639592519496,0.4998599718866634,0.5366345086352,0.5766127627446856,0.5911994551785575,0.6020168811819168,0.6468567069246173,0.692313289419056,0.7571933903823254
8,Maranhão,207.8333333333333,234.8333333333333,240.5833333333333,250.0833333333333,251.8333333333333,253.25,261.0833333333333,292.0,304.3333333333333,311.4166666666667,329.9166666666667,368.6666666666667,399.3333333333333,431.6666666666667,0.3138946696355515,0.3522135811157127,0.3584697753483452,0.3703520509087089,0.3707408112957242,0.3707137729571732,0.3803729223236971,0.423779547557281,0.4399777784717186,0.4482927806508343,0.4732710293959288,0.5275594479839264,0.5706321360870954,0.6163818982296846
9,Piauí,135.4166666666667,141.25,140.4166666666667,151.8333333333333,154.5833333333333,151.75,165.1666666666667,178.25,176.5,176.3333333333333,135.5833333333333,141.4166666666667,168.5,201.5833333333333,0.4256114478112362,0.4418424313251738,0.4372030133121441,0.4707098107601886,0.4771133239567062,0.4660895653680249,0.5049279130060667,0.5424947637461934,0.5344877865755443,0.5310880256817705,0.4064415515065617,0.4224096456558067,0.5019298233594267,0.5989021398359994
