,Grandes Regiões e Unidades da Federação,Número mensal médio de Ressonância Magnética em uso (total)_2010,Número mensal médio de Ressonância Magnética em uso (total)_2011.0,Número mensal médio de Ressonância Magnética em uso (total)_2012.0,Número mensal médio de Ressonância Magnética em uso (total)_2013.0,Número mensal médio de Ressonância Magnética em uso (total)_2014.0,Número mensal médio de Ressonância Magnética em uso (total)_2015.0,Número mensal médio de Ressonância Magnética em uso (total)_2016.0,Número mensal médio de Ressonância Magnética em uso (total)_2017.0,Número mensal médio de Ressonância Magnética em uso (total)_2018.0,Número mensal médio de Ressonância Magnética em uso (total)_2019.0,Número mensal médio de Ressonância Magnética em uso (total)_2020.0,Número mensal médio de Ressonância Magnética em uso (total)_2021.0,Número mensal médio de Ressonância Magnética em uso (total)_2022.0,Número mensal médio de Ressonância Magnética em uso (total)_2023.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2010,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2011.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2012.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2013.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2014.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2015.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2016.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2017.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2018.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2019.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2020.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2021.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2022.0,Número mensal médio de Ressonância Magnética em uso por 10.000 mil habitantes_2023.0
0,Brasil,1042,1183.75,1344.166666666667,1515.083333333333,1711.666666666667,1864.0,2023.416666666667,2193.166666666667,2435.916666666667,2622.916666666667,2730.75,2949.25,3127.0,3268.666666666667,0.05350467728697541,0.06034657362223356,0.06800032633411414,0.07604820629582741,0.08523763887703349,0.09209320452840468,0.09924940212668648,0.1068734480030609,0.1179454807060432,0.1261623577517713,0.1305548944211186,0.1403711983250628,0.148295350635346,0.1544044132868956
1,Rondônia,7.833333333333333,9.083333333333334,10.75,14.16666666666667,16.08333333333333,18.58333333333333,18.0,20.5,24.75,26.58333333333333,26.33333333333333,28.75,29.58333333333333,30.66666666666667,0.04933301760202068,0.05665228841981487,0.06636330917708878,0.08659469323269603,0.09736422432798,0.1114839908989069,0.1071375002678437,0.1211893343927055,0.145426384282904,0.1552257049874652,0.1528561165375032,0.1662212899697159,0.1705437260662298,0.1762193854732017
2,Acre,2,2.333333333333333,3.0,3.0,3.583333333333333,4.333333333333333,5.0,5.0,5.0,5.0,5.083333333333333,5.0,5.0,5.0,0.02614307319668349,0.02997744411454981,0.03789405076034413,0.03732095272928127,0.04393892203722914,0.05241869960496461,0.05978758666210687,0.05920691157802997,0.05871963020725681,0.05828056028599436,0.05885824272058622,0.05758073394706718,0.05730225564599125,0.05703972931226058
3,Amazonas,12.91666666666667,13.0,14.91666666666667,16.91666666666667,17.58333333333333,17.0,19.33333333333333,21.91666666666667,23.91666666666667,21.16666666666667,23.33333333333333,24.83333333333333,26.25,29.08333333333333,0.03637272250438069,0.03599208727804303,0.04061002335235152,0.04528877595995027,0.04629552836099173,0.04405160775411947,0.04938819101104269,0.05525676283948663,0.05951665508269332,0.05196467384188336,0.05661745639121303,0.05969532627261821,0.06250311027382077,0.06858353116439586
4,Roraima,1.25,2.0,3.0,3.0,3.0,3.75,3.166666666666667,3.0,3.0,3.0,3.416666666666667,4.75,5.0,4.833333333333333,0.02659625397082072,0.04153858934950569,0.06074399241914974,0.05916903014070395,0.05762924799594291,0.07017478199034395,0.057761328972657,0.05319026334499382,0.05106409054003681,0.04853387259858443,0.05330421103267158,0.07252218415443713,0.07424963320681195,0.06951735776508886
5,Pará,20.58333333333333,24.91666666666667,29.83333333333333,32.66666666666666,33.83333333333334,38.25,45.66666666666666,52.0,62.25,71.66666666666667,68.08333333333333,73.83333333333333,83.16666666666667,83.33333333333333,0.02672950849866346,0.03199127064148468,0.03788242412975818,0.04103294836891098,0.04204355712518169,0.0470398180684307,0.0556379294730357,0.06283348570453617,0.0746450582513247,0.08527248923087785,0.080427394125654,0.08665728577096365,0.09704344220674065,0.09671793490960354
6,Amapá,2,1.833333333333333,1.583333333333333,1.0,1.583333333333333,2.5,3.0,3.0,2.75,2.5,3.25,5.583333333333333,8.916666666666666,9.333333333333334,0.02911263240789127,0.02619908446108483,0.02224320107291836,0.01381537955683025,0.02151610151794964,0.03346496218459273,0.03963284135766261,0.03918710274074597,0.03558562289074308,0.03207315758953543,0.04137318228514906,0.07059726976122949,0.1120948922024279,0.11679455670626
7,Tocantins,6.166666666666667,7.0,8.333333333333334,9.416666666666666,9.833333333333334,11.5,12.08333333333333,13.33333333333333,16.33333333333333,20.33333333333333,23.08333333333333,24.83333333333333,27.66666666666667,29.83333333333333,0.0441577611203564,0.04961579653554157,0.05843770307101817,0.06534600652627337,0.06752689058125774,0.07815600754647224,0.08134646007134252,0.08897566982552538,0.1080459861357154,0.1333203946983069,0.1500978182604779,0.1603688008848052,0.1776259753378104,0.1903618214584779
8,Maranhão,7,8.25,12.83333333333333,13.33333333333333,15.66666666666667,18.41666666666667,21.41666666666667,26.33333333333333,31.91666666666667,35.0,38.58333333333334,41.75,48.0,53.66666666666666,0.01057223426198329,0.01237372055729438,0.0191216991353118,0.01974552753928472,0.02306395516995239,0.02695878375239726,0.03120199203229817,0.03821756193724338,0.04614224785177115,0.0503834540736822,0.0553484431953309,0.05974396099456309,0.068590173285928,0.07663126302314997
9,Piauí,5.083333333333333,6.833333333333333,9.583333333333334,10.0,10.0,11.66666666666667,16.5,20.58333333333333,23.66666666666667,24.5,25.25,26.08333333333333,26.25,27.25,0.01597679896399102,0.0213752680641087,0.02983878132397423,0.03100174384809145,0.03086447378695674,0.03583335483334623,0.05044183994712473,0.06264432288233275,0.07166880613194268,0.07379011320909287,0.0756925569185545,0.07791055927534915,0.07819381521178013,0.08095948727836783
