,Grandes Regiões e Unidades da Federação,Número mensal médio de Raio X em uso (total)_2010,Número mensal médio de Raio X em uso (total)_2011.0,Número mensal médio de Raio X em uso (total)_2012.0,Número mensal médio de Raio X em uso (total)_2013.0,Número mensal médio de Raio X em uso (total)_2014.0,Número mensal médio de Raio X em uso (total)_2015.0,Número mensal médio de Raio X em uso (total)_2016.0,Número mensal médio de Raio X em uso (total)_2017.0,Número mensal médio de Raio X em uso (total)_2018.0,Número mensal médio de Raio X em uso (total)_2019.0,Número mensal médio de Raio X em uso (total)_2020.0,Número mensal médio de Raio X em uso (total)_2021.0,Número mensal médio de Raio X em uso (total)_2022.0,Número mensal médio de Raio X em uso (total)_2023.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2010,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2011.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2012.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2013.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2014.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2015.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2016.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2017.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2018.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2019.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2020.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2021.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2022.0,Número mensal médio de Raio X em uso por 10.000 mil habitantes_2023.0
0,Brasil,59247.33333333334,62522.5,64718.83333333334,67050.25,69624.08333333333,69912.08333333333,71729.5,73492.75,76170.0,78775.0,72876.66666666667,75651.33333333333,78782.16666666667,80361.25,3.042235556731152,3.187344159912227,3.274074484783492,3.36552526980043,3.467142632314208,3.454092161707907,3.518360853266088,3.581316329079848,3.688101234461762,3.789079484757725,3.48417303760129,3.600667395062734,3.736178135479885,3.79608351741328
1,Rondônia,322.4166666666667,359.1666666666667,399.25,455.3333333333333,493.4166666666667,527.1666666666666,545.3333333333334,569.9166666666666,576.75,624.8333333333334,635.0833333333334,677.0,709.4166666666666,742.9166666666666,2.030526011725724,2.240104248526625,2.464702436181646,2.783255316608536,2.987013327699325,3.162545858414731,3.245869452559118,3.369162024031352,3.388875439804641,3.648533968639542,3.686444506747824,3.914150028156441,4.089686591554405,4.26901038449346
2,Acre,121.3333333333333,128.1666666666667,132.5,141.0833333333333,144.9166666666667,144.3333333333333,154.9166666666667,158.6666666666667,154.0833333333333,157.6666666666667,166.8333333333333,176.0833333333333,185.1666666666667,199.3333333333333,1.586013107265465,1.646618180292057,1.673653908581866,1.755121471407589,1.776971754017244,1.745945917611514,1.852418726747611,1.878832660742818,1.809543270886964,1.837780334351689,1.931708228305141,2.027801513835882,2.122093534089876,2.273983875248788
3,Amazonas,659.1666666666666,700.75,729.5833333333334,747.8333333333334,764.8333333333334,781.0833333333334,795.5,748.75,756.75,765.1666666666666,776.5833333333334,795.4166666666666,808.1666666666666,801.4166666666666,1.856182161352588,1.940111935391435,1.986261198043786,2.002076233815732,2.013745778659631,2.023998624898832,2.032153755997472,1.887764312215921,1.883173326849958,1.878502500851075,1.884350271820408,1.912053319705171,1.924302106144488,1.889879138131791
4,Roraima,71.83333333333333,77.16666666666667,94.16666666666667,98.58333333333333,112.5,119.5,123.25,124.0,137.0,142.0,139.9166666666667,136.75,148.5,156.0833333333333,1.528398061523164,1.602697239068428,1.906686428712201,1.944360073790355,2.161096799847859,2.236236386092294,2.248131725014729,2.198530884926412,2.331926801328347,2.297269969666329,2.182872446923307,2.087875512235637,2.205214106242315,2.244931225758818
5,Pará,880.8333333333334,980.25,1075.583333333333,1155.583333333333,1239.333333333333,1272.166666666667,1341.75,1397.833333333333,1490.833333333333,1523.416666666667,1299.083333333333,1384.333333333333,1522.666666666667,1526.666666666667,1.14384981712904,1.258572965069513,1.365777788387678,1.451540548550226,1.540078279718478,1.564509504646325,1.634719530009759,1.689052707063926,1.787684192926638,1.812635320499626,1.534617683016916,1.624775204545427,1.776731238478522,1.771872567543937
6,Amapá,77.83333333333333,86.41666666666667,85.58333333333333,89.75,94.16666666666667,102.6666666666667,113.3333333333333,122.25,131.8333333333333,163.1666666666667,182.8333333333333,187.0833333333333,214.5,249.75,1.132966611207102,1.234929572097499,1.202303552730903,1.239930315225515,1.279641827120163,1.374294447047275,1.497240673511699,1.596874436685398,1.705953194338047,2.093308085343679,2.327506716246591,2.365535382297914,2.696563107748124,3.125297200434476
7,Tocantins,278.6666666666667,286.6666666666667,299.3333333333333,316.6666666666667,343.9166666666667,358.6666666666667,363.1666666666667,373.5,387.5833333333333,410.3333333333333,421.8333333333333,440.1666666666667,456.5833333333333,466.8333333333333,1.995453421438808,2.031885000979321,2.099082294310973,2.19747632566229,2.36172438499026,2.4375612788407,2.444881882695936,2.49243095098753,2.563887150598024,2.690449276616652,2.742942801568733,2.842510088166246,2.931363611071876,2.978790289973164
8,Maranhão,697.75,714.5833333333334,768.3333333333334,796.0,845.0833333333334,879.4166666666666,932.25,992.9166666666666,1032.5,1126.25,1175.583333333333,1256.25,1297.5,1332.0,1.053825208042691,1.071764179583831,1.144818610568668,1.178807994095297,1.244104092438762,1.28731242053868,1.358197217374784,1.441019780007136,1.492695694212649,1.621267575728131,1.68639414288668,1.79768505387832,1.854078121635241,1.901978428823027
9,Piauí,466.1666666666667,482.0833333333333,494.0833333333333,512.0833333333334,527.6666666666666,518.5,545.1666666666666,571.0833333333334,579.6666666666666,586.75,427.25,443.0,487.0,524.75,1.465151039419111,1.507999094522791,1.538383777998637,1.587547632887683,1.628615400158417,1.592536669807716,1.666618772394393,1.738062934059216,1.755381040330258,1.767197915323887,1.280778017562472,1.323234930056729,1.450681447929026,1.559027190800863
