,Grandes Regiões e Unidades da Federação,Número mensal médio de leitos de internação (total)_2010,Número mensal médio de leitos de internação (total)_2011.0,Número mensal médio de leitos de internação (total)_2012.0,Número mensal médio de leitos de internação (total)_2013.0,Número mensal médio de leitos de internação (total)_2014.0,Número mensal médio de leitos de internação (total)_2015.0,Número mensal médio de leitos de internação (total)_2016.0,Número mensal médio de leitos de internação (total)_2017.0,Número mensal médio de leitos de internação (total)_2018.0,Número mensal médio de leitos de internação (total)_2019.0,Número mensal médio de leitos de internação (total)_2020.0,Número mensal médio de leitos de internação (total)_2021.0,Número mensal médio de leitos de internação (total)_2022.0,Número mensal médio de leitos de internação (total)_2023.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2010,Número mensal médio de leitos de internação por 10.000 mil habitantes_2011.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2012.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2013.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2014.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2015.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2016.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2017.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2018.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2019.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2020.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2021.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2022.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2023.0
0,Brasil,461365.75,459673.8333333333,456164.5,453238.0,453109.4166666667,442934.0,438787.9166666667,438536.8333333333,436291.3333333333,432999.5,443097.1666666667,448765.25,448733.3333333333,448821.0833333333,23.6902356669994,23.43378316829087,23.07700051732524,22.74986211436658,22.56395919938655,21.88369713228777,21.52272396832799,21.36998713641324,21.12493901866397,20.82728685954113,21.18410832645371,21.35923231640125,21.28080172959202,21.20129187524135
1,Rondônia,3736.166666666667,3976.0,4263.166666666667,4385.833333333333,4280.666666666667,4255.333333333333,4209.416666666667,4270.916666666667,4372.583333333333,4477.333333333333,4442.666666666667,4627.75,4675.083333333333,4691.0,23.5297501188191,24.79810995491933,26.31793930915898,26.80869826374584,25.91401800663046,25.52833413121876,25.05479884735922,25.24827063805101,25.6924842077719,26.14409616792015,25.78818128116258,26.75584607503836,26.95119317194805,26.95581969309096
2,Acre,1533.25,1502.166666666667,1458.75,1389.0,1367.333333333333,1417.416666666667,1454.416666666667,1450.166666666667,1456.916666666667,1468.833333333333,1575.5,1625.666666666667,1616.166666666667,1576.5,20.04193348940748,19.29905027174553,18.42598218221733,17.27960111365723,16.76627518108967,17.14595503040083,17.39121250022919,17.17197792134796,17.10992158189118,17.12088592668228,18.24219568648202,18.72141596398978,18.52199909997257,17.98462665215576
3,Amazonas,5935.166666666667,5979.75,5987.916666666667,5801.333333333333,5669.333333333333,5791.75,5794.75,5669.416666666667,5771.0,5701.0,5868.416666666667,6024.916666666667,6124.333333333333,6188.916666666667,16.71314865940001,16.55566799237522,16.3018616088448,15.53114988782216,14.92690704007104,15.00799407117185,14.8030458548917,14.29385302759998,14.3611407588386,13.99609160185403,14.23949248759148,14.48292749726183,14.58247168331313,14.59453612890025
4,Roraima,790.0833333333334,835.0,833.5,831.1666666666666,874.5833333333334,898.75,905.8333333333334,943.4166666666666,1024.333333333333,1071.333333333333,1394.0,1376.0,1391.0,1401.833333333333,16.81060559315675,17.34236105341862,16.8767058937871,16.39310851731614,16.80052660326169,16.81855608368577,16.52278015612583,16.72686031468542,17.43555002550367,17.33198517020559,21.74811810133001,21.00853166242221,20.65624795813509,20.16243090214353
5,Pará,15216.41666666667,15465.33333333333,15516.75,15822.33333333333,15926.66666666667,15562.91666666667,15518.08333333333,15499.83333333333,15129.91666666667,14412.08333333333,14741.33333333333,15205.75,14886.58333333333,14605.33333333333,19.76003264506256,19.85641461782372,19.70319903738856,19.87460163497039,19.79153851666188,19.13926192455289,18.90643852678885,18.72901069562872,18.14254636017705,17.14819843027229,17.4140566845186,17.8468039247652,17.37048444125245,16.95117214399676
6,Amapá,1057.916666666667,1072.083333333333,1120.25,1137.75,1127.333333333333,1134.333333333333,1144.416666666667,1114.583333333333,1156.333333333333,1104.5,1215.666666666667,1313.75,1335.166666666667,1496.0,15.39936951742415,15.32051007235711,15.7376501064864,15.71844809078362,15.31946428078014,15.18416884188921,15.11882806568835,14.55909719881881,14.96321524945306,14.16992102305675,15.4756918763014,16.61143220575796,16.78490058754485,18.72049894634625
7,Tocantins,2437.666666666667,2444.75,2416.333333333333,2478.75,2561.666666666667,2545.166666666667,2535.583333333333,2634.416666666667,2815.583333333333,3044.5,3021.416666666667,3039.833333333333,3069.583333333333,3126.166666666667,17.45544362557656,17.32831694003789,16.94459638247243,17.20103508074337,17.59132725820223,17.29739697452431,17.06985338338441,17.57992406371459,18.62525374269091,19.96199713077026,19.64655811072256,19.63064804924807,19.70738795653086,19.9475792463501
8,Maranhão,15256.33333333333,14219.66666666667,13915.58333333333,13636.66666666667,13730.5,13714.66666666667,13928.08333333333,14152.41666666667,14004.5,13687.75,14493.16666666667,15061.25,15160.75,15323.83333333333,23.04193285412919,21.32729475772205,20.73425437343059,20.19473829080344,20.21359381666158,20.07587689970376,20.29185736304365,20.53939976658261,20.24644731196227,19.70388924277267,20.79069231888889,21.55254449172127,21.66413478426318,21.88108141657602
9,Piauí,8241.333333333334,8150.833333333333,8077.333333333333,8064.583333333333,7820.25,7386.75,7390.5,7585.833333333333,7580.166666666667,7523.833333333333,7858.583333333333,8043.166666666667,7833.083333333333,7617.75,25.90231984168616,25.49652401646917,25.1496817058276,25.00161467415876,24.13679011324484,22.68788861273317,22.5933586744985,23.08709599991397,22.9547110682175,22.66059238502095,23.55787193099157,24.02482862663946,23.3332826935292,22.63226180604721
