,Grandes Regiões e Unidades da Federação,Número mensal médio de leitos de internação pelo SUS (total)_2010,Número mensal médio de leitos de internação pelo SUS (total)_2011.0,Número mensal médio de leitos de internação pelo SUS (total)_2012.0,Número mensal médio de leitos de internação pelo SUS (total)_2013.0,Número mensal médio de leitos de internação pelo SUS (total)_2014.0,Número mensal médio de leitos de internação pelo SUS (total)_2015.0,Número mensal médio de leitos de internação pelo SUS (total)_2016.0,Número mensal médio de leitos de internação pelo SUS (total)_2017.0,Número mensal médio de leitos de internação pelo SUS (total)_2018.0,Número mensal médio de leitos de internação pelo SUS (total)_2019.0,Número mensal médio de leitos de internação pelo SUS (total)_2020.0,Número mensal médio de leitos de internação pelo SUS (total)_2021.0,Número mensal médio de leitos de internação pelo SUS (total)_2022.0,Número mensal médio de leitos de internação pelo SUS (total)_2023.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2010,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2011.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2012.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2013.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2014.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2015.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2016.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2017.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2018.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2019.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2020.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2021.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2022.0,Número mensal médio de leitos de internação pelo SUS por 10.000 mil habitantes_2023.0
0,Brasil,336451.3333333333,332478.6666666667,327722.5,322923.9166666667,321061.5833333333,314347.5,309466.25,304972.25,301607.5833333333,297398.3333333333,310055.4166666667,313050.1666666667,310385.75,308782.6666666667,17.27612285294874,16.94948117070501,16.57922153529948,16.20886725649189,15.98823639578691,15.5307235034832,15.17944415348018,14.8613584175476,14.6036405463397,14.30486732636589,14.82349251583361,14.89979724704947,14.71978369954104,14.58619410967665
1,Rondônia,2735.5,2927.75,3059.666666666667,3199.916666666667,3263.166666666667,3255.416666666667,3242.583333333333,3302.833333333333,3320.75,3400.583333333333,3468.5,3588.916666666667,3635.833333333333,3648.75,17.22771952982905,18.26022797296657,18.88833534686816,19.55970367907232,19.75434350380851,19.52969553572107,19.3001262635281,19.52527674520524,19.51210770131124,19.8567252144937,20.13347241305051,20.74971679746596,20.96006413597072,20.96675487213081
2,Acre,1391.166666666667,1355.0,1315.666666666667,1228.5,1205.916666666667,1243.083333333333,1258.583333333333,1258.666666666667,1305.083333333333,1350.916666666667,1466.833333333333,1468.083333333333,1457.666666666667,1430.833333333333,18.18468599772643,17.40833004652071,16.61864648345314,15.28293014264068,14.78698001862193,15.03711042321648,15.04953202263,14.90435320790941,15.32680214459748,15.74643604660425,16.98398013717637,16.90666316575804,16.70551759599465,16.32286920485857
3,Amazonas,5103.833333333333,5179.916666666667,5233.25,4949.416666666667,4695.25,4885.916666666667,4922.083333333333,4896.833333333333,4952.25,4914.916666666667,5079.583333333333,5186.583333333333,5250.5,5343.666666666667,14.3721533064729,14.3412317507428,14.24731204751019,13.25042497827254,12.36222253290691,12.66073438348911,12.5737650951174,12.34599961206811,12.32368035400424,12.06623818315133,12.32541805116568,12.46770943584391,12.50181259019794,12.60129040798201
4,Roraima,768.0833333333334,822.0,783.5833333333334,774.6666666666666,819.6666666666666,838.1666666666666,827.0,859.0833333333334,946.8333333333334,1009.75,1300.666666666667,1281.333333333333,1292.5,1284.583333333333,16.3425115232703,17.07236022264684,15.86599335325736,15.27875844966622,15.74559120244706,15.68484349464176,15.08482707170126,15.23162291176504,16.11639435321939,16.33569261880687,20.29200306824239,19.56317725541448,19.19353018396089,18.47603568877318
5,Pará,11489.58333333333,11329.16666666667,10894.41666666667,10978.25,11043.08333333333,10917.41666666667,10935.33333333333,10823.91666666667,10722.08333333333,10432.41666666667,11360.0,11657.16666666667,11345.08333333333,11155.08333333333,14.9203683573005,14.54586369133726,13.83375126747396,13.78989690094889,13.72287206787611,13.42622990267328,13.32305046928766,13.07893102196328,12.8570367067024,12.41299727247019,13.41966018018256,13.68187480514337,13.23806740026841,12.94675948493444
6,Amapá,895.3333333333334,919.0833333333334,973.25,991.9166666666666,981.3333333333334,988.3333333333334,1001.0,971.8333333333334,1004.0,970.75,1084.833333333333,1189.916666666667,1203.166666666667,1308.333333333333,13.03275510793266,13.13407738733203,13.67254449108492,13.70370523874588,13.33545323554605,13.22981505030899,13.22415806634009,12.69444422673832,12.99198741174766,12.4540070920166,13.81015607661719,15.04564798388949,15.12547713662293,16.37209410971681
7,Tocantins,2121.666666666667,2128.75,2097.166666666667,2124.5,2149.75,2135.0,2181.75,2203.25,2315.916666666667,2331.916666666667,2325.583333333333,2369.5,2348.416666666667,2473.5,15.1926567314091,15.08851812500487,14.70643235485243,14.74275301221959,14.76263725698903,14.5098327053668,14.68780462846772,14.70267334073166,15.3199285749881,15.28977297066689,15.12194878770815,15.30176672603541,15.07734220179167,15.78301559924732
8,Maranhão,13289.41666666667,12506.66666666667,12436.0,12250.83333333333,12254.58333333333,12097.83333333333,12323.25,12524.25,12452.16666666667,12182.16666666667,12989.08333333333,13296.41666666667,13229.25,13271.66666666667,20.07126088644358,18.75806041655293,18.52967146338214,18.14243752218904,18.04079748679441,17.7091152600476,17.95377190561954,18.17644177566533,18.00222330939623,17.53656099336978,18.63305937886184,19.0270802084022,18.90409479047631,18.95076855445165
9,Piauí,7205.666666666667,7024.666666666667,7069.416666666667,7043.666666666667,6779.416666666667,6459.166666666667,6571.416666666667,6616.583333333333,6578.416666666667,6540.666666666667,6795.833333333333,6885.5,6611.583333333333,6250.083333333333,22.64724348882583,21.97377556990375,22.01142031353658,21.83659497513402,20.92431279991909,19.83888095094762,20.08935440762835,20.13723316815522,19.92115220021721,19.69945035903157,20.37203965910271,20.56689415554313,19.69466382567436,18.56893732527482
