,"Grandes Regiões, Unidades da Federação e Municípios do estabelecimento",Número de doses de vacina contra COVID-19_Total,Número de doses de vacina contra COVID-19_Grupos de idade_0 a 14 anos,Número de doses de vacina contra COVID-19_Grupos de idade_15 a 29 anos,Número de doses de vacina contra COVID-19_Grupos de idade_30 a 44 anos,Número de doses de vacina contra COVID-19_Grupos de idade_45 a 59 anos,Número de doses de vacina contra COVID-19_Grupos de idade_60 anos ou mais,Número de doses de vacina contra COVID-19_Grupos de idade_60 a 69 anos,Número de doses de vacina contra COVID-19_Grupos de idade_70 anos ou mais
0,Brasil,9099411,1615464,1440760,1806244,1758794,1239074,730762,508312
1,Rondônia,40717,7016,7688,8074,7717,5111,3192,1919
2,Acre,28811,6367,6416,6225,4529,2637,1630,1007
3,Amazonas,157830,38348,36838,34040,23816,12394,7760,4634
4,Roraima,15183,2965,3904,3296,2522,1248,819,429
5,Pará,232821,52388,43984,47653,38934,24931,14759,10172
6,Amapá,25542,7157,5295,4891,3995,2102,1337,765
7,Tocantins,39048,7389,6502,7220,7365,5286,3344,1942
8,Maranhão,217353,47125,39065,43394,35271,26249,15286,10963
9,Piauí,188907,35428,33462,39435,34674,22954,13834,9120
10,Ceará,438763,80742,86465,95576,79354,48313,26963,21350
11,Rio Grande do Norte,169519,26994,28491,35323,31161,23775,13104,10671
12,Paraíba,179500,37245,26838,38772,34669,20988,11772,9216
13,Pernambuco,427004,84702,71227,81644,81415,54008,29962,24046
14,Alagoas,115426,24655,21483,21703,21515,13035,7849,5186
15,Sergipe,110511,21243,19797,24021,20310,12570,7013,5557
16,Bahia,689318,117247,120507,149996,134116,83726,49084,34642
17,Minas Gerais,951907,159568,126607,168707,196523,150251,90341,59910
18,Espírito Santo,168625,28075,25831,33846,31873,24500,14333,10167
19,Rio de Janeiro,697323,110583,102234,135553,138981,104986,59991,44995
20,São Paulo,2380135,403823,363754,486274,463423,331430,195523,135907
21,Paraná,547037,100374,79770,97492,109907,79747,49348,30399
22,Santa Catarina,247499,37937,35940,48747,50027,37424,23781,13643
23,Rio Grande do Sul,463597,74870,63101,81828,92552,75623,43189,32434
24,Mato Grosso do Sul,84030,17505,12428,15469,15028,11800,6712,5088
25,Mato Grosso,103824,18768,17096,20733,20729,13249,8513,4736
26,Goiás,252648,46195,37114,49238,50703,34699,21506,13193
27,Distrito Federal,125861,20586,18792,26945,27574,15982,9788,6194
