,Grandes Regiões e Unidades da Federação,Número mensal médio de Clínicas Básicas_2010,Número mensal médio de Clínicas Básicas_2011.0,Número mensal médio de Clínicas Básicas_2012.0,Número mensal médio de Clínicas Básicas_2013.0,Número mensal médio de Clínicas Básicas_2014.0,Número mensal médio de Clínicas Básicas_2015.0,Número mensal médio de Clínicas Básicas_2016.0,Número mensal médio de Clínicas Básicas_2017.0,Número mensal médio de Clínicas Básicas_2018.0,Número mensal médio de Clínicas Básicas_2019.0,Número mensal médio de Clínicas Básicas_2020.0,Número mensal médio de Clínicas Básicas_2021.0,Número mensal médio de Clínicas Básicas_2022.0,Número mensal médio de Clínicas Básicas_2023.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2010,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2011.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2012.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2013.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2014.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2015.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2016.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2017.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2018.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2019.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2020.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2021.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2022.0,Número mensal médio de Clínicas Básicas por 10.000 mil habitantes_2023.0
0,Brasil,107977.1666666667,112528.3333333333,117026.3333333333,121538.25,127463.1666666667,130439.5833333333,136499.4166666667,142234.25,150369.6666666667,158559.75,159107.5833333333,172818.0,188763.6666666667,200870.0833333333,5.544417904857926,5.736599241467572,5.920269452958326,6.100500022331343,6.347415406303681,6.444527482036777,6.695351342106896,6.931103300385757,7.280800226584441,7.626727969956378,7.606801700515489,8.225369077609802,8.951958469954238,9.488647980004027
1,Rondônia,486.8333333333333,560.4166666666666,615.8333333333334,695.8333333333334,816.3333333333334,918.5833333333334,1005.25,1061.833333333333,1125.25,1242.25,1363.666666666667,1540.416666666667,1891.083333333333,2074.833333333333,3.065994562031966,3.495290271772981,3.801743060609971,4.253327579370659,4.94186498195281,5.510708662236103,5.983331785791663,6.27721340988558,6.611759148054047,7.253760452188536,7.91562497158134,8.90608853649333,10.90182753696043,11.92258222693418
2,Acre,247.5,259.4166666666667,276.0833333333333,295.6666666666667,335.25,362.5,401.25,426.6666666666667,432.1666666666667,470.5833333333333,527.75,627.9166666666666,804.0833333333334,952.1666666666666,3.235205308089582,3.332849411735484,3.48730528247278,3.678187230096943,4.110843798971461,4.385025832338386,4.797953829634076,5.052323121325225,5.075333370913897,5.485172065583503,6.110643461466762,7.23118050485252,9.215157745469494,10.86226578536482
3,Amazonas,1192.416666666667,1220.083333333333,1268.833333333333,1313.083333333333,1387.583333333333,1445.083333333333,1519.5,1500.833333333333,1526.75,1565.666666666667,1643.25,1810.583333333333,1947.083333333333,1981.833333333333,3.357788943968924,3.377949678447615,3.454347572977119,3.515346023649932,3.653397358952006,3.744602598353852,3.881656357307554,3.783932694825681,3.799319295365938,3.84374918165868,3.987284366351178,4.352350180956966,4.636143401739118,4.67350583997611
4,Roraima,172.9166666666667,190.5833333333333,215.1666666666667,219.75,237.5833333333333,263.4166666666667,263.3333333333333,317.1666666666667,399.5833333333333,358.25,336.6666666666667,421.9166666666667,474.1666666666667,549.75,3.679148465963532,3.958281410096646,4.35669412295124,4.334131457806565,4.563916278789812,4.929388574921716,4.803310514568318,5.623392841417958,6.801453170541012,5.795753286147624,5.252414940780321,6.441751199542373,7.041340215779335,7.907000158211917
5,Pará,2337,2513.416666666667,2635.166666666667,2788.5,2995.333333333333,3152.166666666667,3333.0,3481.0,3670.5,3797.333333333333,3711.333333333333,4059.916666666667,4427.416666666667,4623.5,3.034827272617482,3.227052554574647,3.346139709025735,3.502664587552295,3.722201027851061,3.876531935199258,4.060756618984556,4.206218533413277,4.401360422674495,4.518252080549583,4.384228182105419,4.765074836879885,5.166153347697319,5.366104464654624
6,Amapá,133.1666666666667,154.0,181.4166666666667,211.1666666666667,229.9166666666667,239.0833333333333,263.5833333333333,278.75,340.5833333333333,387.25,430.0833333333333,467.1666666666667,543.25,591.3333333333334,1.938416107825427,2.200723094731126,2.54860256503912,2.917347649750655,3.124364425685423,3.200365883586552,3.482185478174634,3.641134962994312,4.407225477408089,4.968132110619037,5.475051122401393,5.906989466887352,6.829407497828293,7.399769414175188
7,Tocantins,481.5833333333333,491.5,524.8333333333334,570.9166666666666,584.5,598.0833333333334,620.75,693.1666666666666,757.9166666666666,819.0,904.6666666666666,1029.416666666667,1136.916666666667,1215.833333333333,3.448482452899183,3.483737713888383,3.680406539412725,3.961818501871671,4.013844157092727,4.064678740297328,4.178964007389176,4.6256226350545,5.01366450971598,5.369970652028525,5.88253398929873,6.647771131979864,7.299250546788395,7.758041829830143
8,Maranhão,2705.833333333333,2744.166666666667,2797.583333333333,2845.583333333333,2982.0,3024.25,3101.25,3216.666666666667,3305.25,3389.833333333333,3542.166666666667,3745.25,4123.75,4497.25,4.086671981983302,4.115824423754583,4.168406244620471,4.21406580552472,4.390003041497748,4.426973851394791,4.518218418217806,4.668347755625298,4.778433359124802,4.879757487641059,5.081297897323402,5.35942682430868,5.892681814330116,6.421676042811078
9,Piauí,1666.666666666667,1695.166666666667,1734.916666666667,1819.416666666667,1952.083333333333,1986.5,2056.166666666667,2087.25,2137.666666666667,2185.166666666667,2084.833333333333,2236.833333333333,2433.666666666667,2574.416666666667,5.238294742292138,5.302630523903649,5.401857290294084,5.64050894529484,6.02500248716218,6.101396517980768,6.285868479067451,6.352438685157039,6.473409207382371,6.58137533526814,6.249757059367646,6.681390517792084,7.249435490301037,7.648567096301582
