,Grandes Regiões e Unidades da Federação,Número mensal médio de Clínicas Especializadas_2010,Número mensal médio de Clínicas Especializadas_2011.0,Número mensal médio de Clínicas Especializadas_2012.0,Número mensal médio de Clínicas Especializadas_2013.0,Número mensal médio de Clínicas Especializadas_2014.0,Número mensal médio de Clínicas Especializadas_2015.0,Número mensal médio de Clínicas Especializadas_2016.0,Número mensal médio de Clínicas Especializadas_2017.0,Número mensal médio de Clínicas Especializadas_2018.0,Número mensal médio de Clínicas Especializadas_2019.0,Número mensal médio de Clínicas Especializadas_2020.0,Número mensal médio de Clínicas Especializadas_2021.0,Número mensal médio de Clínicas Especializadas_2022.0,Número mensal médio de Clínicas Especializadas_2023.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2010,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2011.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2012.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2013.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2014.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2015.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2016.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2017.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2018.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2019.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2020.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2021.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2022.0,Número mensal médio de Clínicas Especializadas por 10.000 mil habitantes_2023.0
0,Brasil,117382.75,125864.25,132797.3333333333,139397.8333333333,146527.5,149046.0,154687.5,160384.3333333333,169100.5,177060.5833333333,167963.3333333333,179977.8333333333,192745.25,201935.8333333333,6.027376351063063,6.416452991790674,6.718111843496689,6.996945285644157,7.296781770528447,7.363800301577577,7.587484152121485,7.815560472226881,8.18773484046345,8.51661851942328,8.030187768910553,8.566145337610727,9.140781717955683,9.538991597216095
1,Rondônia,1485.75,1570.666666666667,1648.0,1718.5,1783.416666666667,1832.0,1849.583333333333,1789.666666666667,1028.833333333333,1074.75,1091.916666666667,1226.083333333333,1411.416666666667,1484.25,9.357003944961987,9.796168184740099,10.17364963012487,10.50444566967446,10.79633038778809,10.99042177543305,11.00887415946663,10.57992742039733,6.045232795813913,6.275692530480685,6.338207895540839,7.088735766157769,8.136617150376715,8.528922485497816
2,Acre,184.4166666666667,207.25,216.8333333333333,220.8333333333333,227.8333333333333,227.25,228.5833333333333,233.0,235.9166666666667,264.0833333333333,288.9166666666667,312.5833333333333,347.5,374.9166666666667,2.410609207677523,2.662639411174478,2.738897779955984,2.747236798127649,2.793697973250802,2.748957573514202,2.733289170235986,2.759042079536196,2.770587885279067,3.078184925771936,3.345270942824139,3.599755550590817,3.982506767396392,4.277029036264339
3,Amazonas,850.0833333333334,853.0,875.75,924.75,934.0,950.0833333333334,1017.666666666667,1008.0,1139.416666666667,1206.25,1230.583333333333,1267.333333333333,1349.583333333333,1388.083333333333,2.393794466239918,2.361634649859285,2.384194052569063,2.475712053337774,2.459148255308035,2.461923431395667,2.599692192357126,2.541390887096693,2.835439808173051,2.961372652997093,2.985964209032296,3.046464838771738,3.213453558363579,3.273340626376338
4,Roraima,97,99.25,125.9166666666667,141.5833333333333,162.8333333333333,180.6666666666667,198.0833333333333,211.0,236.3333333333333,240.8333333333333,247.3333333333333,259.5,306.0833333333333,330.25,2.063869308135688,2.06135249646922,2.549560348481535,2.792449505807112,3.127987516224234,3.380865052334793,3.613123130736992,3.741048521931232,4.022715576987344,3.896191439164139,3.858704837682177,3.962001429068724,4.545315046143672,4.749953255569779
5,Pará,1805.75,1999.916666666667,2194.583333333333,2356.083333333333,2499.916666666667,2535.583333333333,2649.5,2759.083333333333,2942.083333333333,3083.75,2668.166666666667,2919.166666666667,3245.416666666667,3444.833333333333,2.34494623343133,2.567754194397962,2.786686143735145,2.959501401107706,3.106563227089472,3.118258266597257,3.228015200119886,3.333900445819692,3.527903322038847,3.669195888358878,3.15192693404552,3.426190429522411,3.78693071817787,3.998125993293192
6,Amapá,130.5833333333333,136.5833333333333,149.5,149.8333333333333,155.25,159.25,180.0833333333333,191.4166666666667,206.75,241.4166666666667,254.0,292.6666666666667,334.4166666666667,357.5833333333333,1.900812290965234,1.95183179235082,2.100226459200818,2.070004370265067,2.109710375154746,2.131718091158557,2.379071393719692,2.50035486098593,2.675391830058593,3.097197917896138,3.233473323208573,3.700561364200567,4.204082265498534,4.474691453808587
7,Tocantins,308.6666666666667,329.4166666666667,342.4166666666667,381.8333333333333,418.0,462.5,522.5,601.4166666666666,690.9166666666666,754.75,800.3333333333334,918.5833333333334,1022.75,1078.25,2.210274962024326,2.334895758392808,2.401205219188137,2.649693822153846,2.870465111488041,3.143230738282035,3.517533135498742,4.013358807067604,4.570455464547025,4.948700060584284,5.204113525536569,5.932031181722176,6.566275889520923,6.880144156009064
8,Maranhão,1265,1342.666666666667,1417.916666666667,1468.25,1586.583333333333,1694.0,1811.75,1965.416666666667,2167.916666666667,2302.333333333333,2454.833333333333,2653.166666666667,2867.833333333333,3082.0,1.910553763058408,2.013791773930576,2.11269942069695,2.174352810716608,2.335716183408104,2.479720163433174,2.639542835697254,2.852408855347738,3.134179054474743,3.314271593208791,3.521499869650232,3.796663134021756,4.098024693510289,4.400823962186612
9,Piauí,972.5,1074.916666666667,1164.416666666667,1239.166666666667,1347.75,1419.416666666667,1528.916666666667,1604.083333333333,1773.5,1924.333333333333,1521.833333333333,1655.166666666667,1900.25,2074.666666666667,3.056544982127462,3.362433936084612,3.625541664694712,3.841632758509333,4.159759454637094,4.359639520545618,4.674022411666148,4.881945632234912,5.370618070774662,5.795786715048886,4.562037869460866,4.943960154399313,5.660487518330864,6.163814664471698
10,Ceará,4075.75,4471.083333333333,4680.75,4878.083333333333,5220.25,5401.0,5768.666666666667,6127.833333333333,6637.916666666667,7034.833333333333,7362.416666666667,7684.75,8017.75,8096.75,4.773812136861736,5.203896568499021,5.413820866172014,5.606252569584305,5.961174514390237,6.12620967403483,6.501255434273419,6.866547499842375,7.394666089166964,7.785658061217123,8.100422686398659,8.417474303139706,8.750179390818792,8.803999968684325
11,Rio Grande do Norte,1663.333333333333,1727.833333333333,1776.416666666667,1841.583333333333,1974.166666666667,1874.5,1950.333333333333,2053.083333333333,2152.25,2232.916666666667,2119.333333333333,2398.5,2797.166666666667,3158.416666666667,5.193357872209467,5.353859266473251,5.462997844733692,5.622293417416119,5.984336145390318,5.642664746545167,5.835332715192978,6.111791329150018,6.376071652558679,6.582048955607291,6.219398222844619,7.01442541371511,8.159869854378679,9.191388667234335
12,Paraíba,1254.083333333333,1370.083333333333,1491.666666666667,1610.583333333333,1768.166666666667,1881.25,1965.833333333333,2194.333333333333,2443.166666666667,2568.583333333333,2549.833333333333,2775.416666666667,2970.0,3182.166666666667,3.289320394800631,3.572048086054877,3.866035936942233,4.149272654637962,4.526802176312736,4.784413379419686,4.967418033390988,5.511306592403423,6.095097153578403,6.361327881533142,6.27275302885122,6.789540116651659,7.233271294434083,7.715338479209116
13,Pernambuco,3146.25,3394.083333333333,3614.916666666667,3911.083333333333,4278.5,4312.833333333333,4624.5,4891.75,5318.5,5740.25,4638.916666666667,5120.666666666667,5668.0,6237.833333333333,3.5233649067144,3.778642170741373,3.999140930061949,4.299185890851079,4.673461728187926,4.681193145084859,4.992613372106832,5.257581455566814,5.689273966915671,6.108920284722884,4.914647041344871,5.407150476048879,5.970698910968958,6.556145334784174
14,Alagoas,1013.75,1050.416666666667,1099.166666666667,1157.416666666667,1235.166666666667,1306.75,1363.416666666667,1421.833333333333,1491.083333333333,1570.166666666667,1661.416666666667,1708.166666666667,1804.25,1974.75,3.237137268989742,3.342966806262384,3.486853215164169,3.659619981309036,3.893500391871805,4.107755051744983,4.276840868791823,4.452753885524922,4.659449038705119,4.893460620445722,5.167987993947619,5.30846100003346,5.606079578521001,6.135418210424572
15,Sergipe,1844.166666666667,1922.0,1979.666666666667,2039.833333333333,2093.916666666667,2133.833333333333,2185.666666666667,2229.25,2325.5,2437.5,2537.666666666667,2708.0,2819.416666666667,2937.75,8.833370774371682,9.11969769293475,9.308338274322795,9.50694242159433,9.675285899750374,9.778125227211769,9.942477076350704,10.07469533000531,10.44198021793677,10.87538482130906,11.25741461858022,11.95618244569275,12.40073147198841,12.8736096589211
16,Bahia,5986.333333333333,6465.416666666667,6859.083333333333,7227.166666666667,7599.5,7689.833333333333,7976.166666666667,8509.75,9180.5,9698.583333333334,9893.0,10337.25,10936.75,11278.91666666667,4.219435156745355,4.541131016894705,4.798959237631257,5.035991609429195,5.273910586482868,5.314164333232645,5.490552033090945,5.837114879716233,6.273982323915036,6.600706673699374,6.707777597948436,6.990168559270287,7.38403867469376,7.606085524799951
