Brasil e Unidade da Federação,Total,0 a 14 anos,15 a 29 anos,30 a 44 anos,45 a 59 anos,60 anos ou mais,60 a 69 anos,70 anos ou mais
Brasil,203080756,40129261,45312128,47718078,37807799,32113490,17820621,14292869
Rondônia,1581196,348152,372629,377191,287178,196046,118007,78039
Acre,830018,221160,224784,186113,119545,78416,45538,32878
Amazonas,3941613,1075426,1063019,879130,567056,356982,215739,141243
Roraima,636707,186208,171286,142454,86299,50460,31467,18993
Pará,8120131,1990942,2100629,1895845,1256383,876332,507379,368953
Amapá,733759,198176,200435,167289,105943,61916,37479,24437
Tocantins,1511460,350986,366420,349942,255191,188921,104386,84535
Maranhão,6776699,1645580,1703431,1564047,1041680,821961,447639,374322
Piauí,3271199,681934,758510,760645,576211,493899,259137,234762
Ceará,8794957,1802435,2070180,2067525,1564284,1290533,672897,617636
Rio Grande do Norte,3302729,654658,755428,782351,612401,497891,263949,233942
Paraíba,3974687,826921,893666,914739,724033,615328,317404,297924
Pernambuco,9058931,1894679,2079231,2097049,1655813,1332159,724940,607219
Alagoas,3127683,711691,759755,700581,546435,409221,230172,179049
Sergipe,2210004,469501,526722,521289,397883,294609,163089,131520
Bahia,14141626,2863071,3174682,3352096,2592498,2159279,1153753,1005526
Minas Gerais,20539989,3707919,4426257,4756996,3988881,3659936,2013210,1646726
Espírito Santo,3833712,741496,811486,920785,728547,631398,362203,269195
Rio de Janeiro,16055174,2856146,3321915,3669937,3181547,3025629,1678255,1347374
São Paulo,44411238,7975163,9374648,10707297,8703562,7650568,4266063,3384505
Paraná,11444380,2195297,2496695,2621624,2237644,1893120,1069300,823820
Santa Catarina,7610361,1423210,1678213,1879550,1444995,1184393,688604,495789
Rio Grande do Sul,10882965,1906510,2207936,2438235,2136868,2193416,1204482,988934
Mato Grosso do Sul,2757013,606792,621841,639580,497709,391091,224963,166128
Mato Grosso,3658649,829686,864067,892278,642139,430479,258407,172072
Goiás,7056495,1431289,1627589,1717668,1315532,964417,555696,408721
Distrito Federal,2817381,534233,660674,715842,541542,365090,206463,158627
