Estados_X;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Total;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Grupos de idade_0 a 14 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Grupos de idade_15 a 29 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Grupos de idade_30 a 44 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Grupos de idade_45 a 59 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Grupos de idade_60 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Grupos de idade_60 a 69 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Grupos de idade_70 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Doenças hipertensivas, isquemicas do coração, insuficiência cardíaca e cerebrovasculares_Total;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Doenças hipertensivas, isquemicas do coração, insuficiência cardíaca e cerebrovasculares_Grupos de idade_0 a 14 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Doenças hipertensivas, isquemicas do coração, insuficiência cardíaca e cerebrovasculares_Grupos de idade_15 a 29 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Doenças hipertensivas, isquemicas do coração, insuficiência cardíaca e cerebrovasculares_Grupos de idade_30 a 44 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Doenças hipertensivas, isquemicas do coração, insuficiência cardíaca e cerebrovasculares_Grupos de idade_45 a 59 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Doenças hipertensivas, isquemicas do coração, insuficiência cardíaca e cerebrovasculares_Grupos de idade_60 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Doenças hipertensivas, isquemicas do coração, insuficiência cardíaca e cerebrovasculares_Grupos de idade_60 a 69 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Doenças hipertensivas, isquemicas do coração, insuficiência cardíaca e cerebrovasculares_Grupos de idade_70 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Neoplasias malignas_Total;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Neoplasias malignas_Grupos de idade_0 a 14 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Neoplasias malignas_Grupos de idade_15 a 29 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Neoplasias malignas_Grupos de idade_30 a 44 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Neoplasias malignas_Grupos de idade_45 a 59 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Neoplasias malignas_Grupos de idade_60 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Neoplasias malignas_Grupos de idade_60 a 69 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Neoplasias malignas_Grupos de idade_70 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Acidentes, agressões e lesões autoprovocadas intencionalmente_Total;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Acidentes, agressões e lesões autoprovocadas intencionalmente_Grupos de idade_0 a 14 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Acidentes, agressões e lesões autoprovocadas intencionalmente_Grupos de idade_15 a 29 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Acidentes, agressões e lesões autoprovocadas intencionalmente_Grupos de idade_30 a 44 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Acidentes, agressões e lesões autoprovocadas intencionalmente_Grupos de idade_45 a 59 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Acidentes, agressões e lesões autoprovocadas intencionalmente_Grupos de idade_60 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Acidentes, agressões e lesões autoprovocadas intencionalmente_Grupos de idade_60 a 69 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Acidentes, agressões e lesões autoprovocadas intencionalmente_Grupos de idade_70 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Influenza [gripe] e pneumonia_Total;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Influenza [gripe] e pneumonia_Grupos de idade_0 a 14 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Influenza [gripe] e pneumonia_Grupos de idade_15 a 29 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Influenza [gripe] e pneumonia_Grupos de idade_30 a 44 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Influenza [gripe] e pneumonia_Grupos de idade_45 a 59 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Influenza [gripe] e pneumonia_Grupos de idade_60 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Influenza [gripe] e pneumonia_Grupos de idade_60 a 69 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Influenza [gripe] e pneumonia_Grupos de idade_70 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Infecção por coronavírus de localização não especificada_Total;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Infecção por coronavírus de localização não especificada_Grupos de idade_0 a 14 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Infecção por coronavírus de localização não especificada_Grupos de idade_15 a 29 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Infecção por coronavírus de localização não especificada_Grupos de idade_30 a 44 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Infecção por coronavírus de localização não especificada_Grupos de idade_45 a 59 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Infecção por coronavírus de localização não especificada_Grupos de idade_60 anos ou mais;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Infecção por coronavírus de localização não especificada_Grupos de idade_60 a 69 anos;Tabela 5.2 (Obitos_Geo)_Número de óbitos_Causas selecionadas_Infecção por coronavírus de localização não especificada_Grupos de idade_70 anos ou mais
Rondônia;10277;480;612;1031;1688;6455;1776;4679;1950;3;12;73;283;1579;386;1193;1490;19;25;123;336;987;381;606;1520;49;426;459;325;257;114;143;432;30;7;16;47;332;64;268;604;10;6;35;63;490;118;372
Acre;4159;346;294;408;632;2469;692;1777;751;1;8;31;121;590;147;443;567;8;14;41;144;360;162;198;517;24;179;182;76;50;27;23;296;32;7;16;24;215;35;180;167;4;3;8;15;137;29;108
Amazonas;20155;1641;1945;2231;3071;11206;3174;8032;3559;7;34;134;544;2839;713;2126;2806;55;84;302;672;1693;667;1026;3116;148;1363;923;359;287;141;146;1074;114;27;36;93;804;155;649;677;28;11;20;74;544;99;445
Roraima;3246;384;329;424;522;1587;533;1054;590;3;10;41;97;439;124;315;447;8;16;54;96;273;119;154;572;46;185;176;95;70;34;36;187;56;8;7;13;103;22;81;92;3;3;7;17;62;13;49
Pará;45499;2746;3678;4520;6779;27587;7408;20179;9161;21;88;355;1303;7388;1799;5589;5507;99;154;499;1218;3535;1357;2178;6139;246;2332;1771;898;791;375;416;3127;186;84;153;304;2400;412;1988;1656;28;29;83;229;1287;317;970
Amapá;3846;340;453;445;617;1991;577;1414;733;1;8;36;116;572;143;429;496;6;22;58;120;290;112;178;603;28;263;156;83;73;35;38;280;23;10;17;39;191;36;155;146;7;4;12;19;104;23;81
Tocantins;9370;413;647;971;1464;5868;1413;4455;2244;4;21;92;337;1790;405;1385;1236;6;25;91;264;850;277;573;1449;49;454;425;255;261;92;169;445;18;16;26;40;345;48;297;358;6;5;19;32;295;54;241
Maranhão;39936;2137;2540;4064;5794;25334;6127;19207;10316;21;101;463;1336;8393;1854;6539;4543;81;108;410;1015;2929;1017;1912;4617;199;1528;1420;729;712;280;432;2119;112;68;99;175;1664;240;1424;971;34;30;48;116;742;147;595
Piauí;24343;934;1222;2018;3376;16751;3497;13254;6508;6;43;252;741;5465;983;4482;2989;29;52;195;638;2073;679;1394;2506;73;770;733;449;459;162;297;1629;41;26;37;124;1401;169;1232;723;14;13;34;73;589;108;481
Ceará;64664;1888;3723;5066;8893;45087;9200;35887;13498;16;75;407;1646;11353;2247;9106;9684;77;173;604;1856;6974;2079;4895;7057;171;2468;1926;1195;1293;492;801;5064;93;51;115;366;4438;495;3943;2343;48;34;84;198;1978;309;1669
Rio Grande do Norte;24219;665;1241;1826;3496;16963;3649;13314;5739;3;37;224;797;4677;945;3732;3614;26;50;204;761;2573;885;1688;2226;40;804;618;379;373;149;224;1659;32;17;50;103;1457;173;1284;975;16;12;49;96;801;131;670
Paraíba;32405;1062;1398;2364;4518;23047;4815;18232;7362;8;38;241;953;6121;1250;4871;4373;31;72;270;846;3153;1019;2134;2924;96;908;789;529;595;217;378;2359;77;39;66;166;2011;240;1771;988;8;15;35;115;815;137;678
Pernambuco;72011;2248;3681;5536;11037;49260;11839;37421;14571;16;66;504;2113;11858;2774;9084;9404;60;154;644;2003;6539;2328;4211;7254;198;2468;1876;1122;1454;464;990;3456;96;38;103;304;2910;395;2515;2250;38;30;78;267;1837;341;1496
Alagoas;23122;849;1420;1873;3761;15218;4092;11126;5865;10;41;216;917;4681;1173;3508;2589;32;56;177;576;1748;663;1085;2307;55;973;595;355;329;125;204;1303;45;25;61;137;1035;166;869;735;20;8;34;85;588;111;477
Sergipe;14791;663;908;1247;2269;9703;2370;7333;2930;7;19;117;427;2360;553;1807;1823;18;35;138;396;1236;426;810;1729;33;638;434;271;353;110;243;771;29;15;29;64;634;91;543;439;10;1;15;43;370;72;298
Bahia;107641;3707;7074;9258;15632;71795;16450;55345;22839;27;129;779;2953;18948;3980;14968;14148;107;235;967;2900;9939;3298;6641;11776;258;4524;3208;1718;1991;680;1311;4293;162;81;186;352;3509;507;3002;3406;40;56;153;372;2785;508;2277
Minas Gerais;162615;3787;5170;10301;23293;119986;28804;91182;31888;31;139;964;4141;26610;6194;20416;25469;124;309;1320;4921;18795;6700;12095;11774;258;2844;2900;2143;3596;1152;2444;9457;135;73;273;637;8338;1078;7260;7269;61;62;214;707;6225;1156;5069
Espírito Santo;27992;855;1364;2109;4084;19522;5088;14434;6278;4;24;206;804;5240;1371;3869;4578;34;53;263;965;3263;1238;2025;3307;91;923;744;537;981;291;690;1187;55;9;36;99;987;126;861;1272;10;12;45;113;1092;218;874
Rio de Janeiro;150806;3342;5840;8943;21049;111108;29143;81965;32303;24;175;1049;4755;26275;7352;18923;22356;100;281;1296;4158;16519;6034;10485;9697;356;2904;2214;1544;2549;834;1715;10447;143;114;241;832;9099;1503;7596;5453;50;34;149;523;4691;858;3833
São Paulo;354056;8053;9515;21305;49901;264791;65270;199521;76230;71;502;2748;10910;61970;15976;45994;58595;319;686;3096;11040;43451;15513;27938;18668;559;3687;4420;3342;6521;1751;4770;23294;281;239;826;1994;19930;2952;16978;18475;112;143;480;1645;16092;2862;13230
Paraná;89808;2090;3600;6042;13152;64837;16174;48663;19590;16;69;504;2416;16582;3836;12746;15639;96;192;814;3119;11418;4076;7342;8855;231;2135;2180;1629;2637;761;1876;4496;75;41;111;429;3840;605;3235;4460;44;48;153;436;3779;750;3029
Santa Catarina;51317;1334;1597;3213;7559;37587;9676;27911;10799;2;59;295;1418;9025;2019;7006;10094;55;130;566;2006;7336;2793;4543;4428;131;906;1097;937;1346;483;863;2599;37;16;69;200;2276;315;1961;2250;24;33;59;247;1887;407;1480
Rio Grande do Sul;104096;1788;2758;5335;13172;80970;18970;62000;21524;11;61;445;2285;18722;4026;14696;20234;84;187;838;3421;15703;5302;10401;7464;164;1682;1737;1355;2495;803;1692;4398;30;32;94;280;3961;532;3429;4653;22;41;125;444;4021;734;3287
Mato Grosso do Sul;20434;757;904;1640;3226;13890;3732;10158;4679;12;31;193;730;3710;1000;2710;3003;32;52;172;633;2114;781;1333;2010;82;514;565;373;470;187;283;1452;47;21;65;145;1173;205;968;959;9;8;34;95;813;166;647
Mato Grosso;21731;1208;1427;2090;3757;13229;3860;9369;4178;8;27;211;667;3264;903;2361;3084;34;71;218;682;2079;806;1273;3244;137;981;864;656;599;232;367;828;69;18;35;84;622;104;518;1186;21;13;53;182;917;243;674
Goiás;47270;1607;2269;4007;7607;31696;8439;23257;10055;19;51;381;1583;8017;2168;5849;7146;54;128;492;1587;4885;1782;3103;5358;162;1382;1417;958;1400;436;964;2477;71;29;91;223;2062;348;1714;2530;31;29;110;289;2070;401;1669
Distrito Federal;14457;518;573;1236;2405;9711;2366;7345;2647;5;15;100;420;2107;507;1600;2709;23;47;188;578;1872;649;1223;1427;40;341;388;277;376;121;255;551;11;3;20;46;471;78;393;727;9;8;39;80;590;108;482
